ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0009953,dorsal/ventral pattern formation,37/3139,155/18773,0.238709677,1.427619234,2.395369104,0.01374557,0.155041945,0.139264329,fsta/edn1/mgaa/hdac1/nog2/il17rd/evx2/cdk5rap3/gli1/ddit4/gli2a/smad1/ptbp1a/smo/yap1/bmper/foxn4/bmp1a/bmpr1aa/vox/lhx1a/skia/eif4a3/zeb2b/map2k4a/aida/bmp2b/lzts2a/tle5/fcho1/chrdl2/net1/tcf7/runx2b/robo3/rest/zmat2,37
MF,GO:0005548,phospholipid transporter activity,13/3098,41/18430,0.317073171,1.886268088,2.553701727,0.014012125,0.198359139,0.180452197,cptp/triap1/pitpnab/pitpnbl/abca4b/mfsd2ab/gltpd2b/cetp/abca1a/prelid1a/vmp1/clptm1l/prelid1b,13
BP,GO:0009191,ribonucleoside diphosphate catabolic process,15/3139,50/18773,0.3,1.794170118,2.519571587,0.014123289,0.158718871,0.142567078,pfkpa/hk2/pfkma/eno2/gapdh/hk1/adpgk/tigarb/tpi1a/prkag3b/pfkmb/gpia/pkmb/gapdhs/bpgm,15
BP,GO:0016052,carbohydrate catabolic process,23/3139,87/18773,0.264367816,1.581069453,2.434139005,0.014458636,0.161894506,0.145419549,pfkpa/hk2/pfkma/treh/eno2/gapdh/pgd/hk1/adpgk/pygma/tigarb/si:dkey-224e22.2/atg3/zgc:172295/tpi1a/prkag3b/pfkmb/tkfc/gpia/pkmb/gapdhs/bpgm/gale,23
MF,GO:0033293,monocarboxylic acid binding,12/3098,37/18430,0.324324324,1.929405196,2.543734963,0.014870561,0.202331484,0.184065937,tmem175/fabp10a/fabp2/fabp7a/fabp3/crabp1a/crabp2b/cyp27c1/apoc1/fabp4a/rbp1.1/ptgdsb.1,12
BP,GO:0009226,nucleotide-sugar biosynthetic process,7/3139,17/18773,0.411764706,2.462586436,2.703284579,0.014903398,0.164382102,0.147653998,pmm2/uap1/gfpt1/uap1l1/gfus.1/gnpnat1/gfpt2,7
BP,GO:0032925,regulation of activin receptor signaling pathway,7/3139,17/18773,0.411764706,2.462586436,2.703284579,0.014903398,0.164382102,0.147653998,fsta/osr1/aplnrb/ldb2a/nomo/net1/fscn1a,7
CC,GO:0005685,U1 snRNP,7/3237,17/19331,0.411764706,2.459012521,2.698998506,0.015020782,0.118828041,0.10383728,snrpa/snrpd2/snrpe/snrpd3l/snrpc/prpf39/snrpb,7
BP,GO:0006289,nucleotide-excision repair,11/3139,33/18773,0.333333333,1.993522353,2.559562249,0.015052032,0.164382102,0.147653998,pole/pold1/xpa/uvssa/rpa1/rpa3/ercc6/ercc5/gtf2h2/lig4/rpa2,11
BP,GO:0034599,cellular response to oxidative stress,11/3139,33/18773,0.333333333,1.993522353,2.559562249,0.015052032,0.164382102,0.147653998,mb/sirt2/ppifb/sod2/msrab/ccs/nfe2l2a/prkn/glrx2/sod3b/atf4a,11
BP,GO:0001889,liver development,39/3139,166/18773,0.234939759,1.405072984,2.348902668,0.015096579,0.164382102,0.147653998,mgaa/hdac1/lrp5/tbx2b/klf6a/tomm22/e2f7/pkd1a/jag2b/nphp4/yap1/samm50/pnpla3/mtch2/spaw/aplnrb/sec13/nos1/rbm15/notch3/nr5a2/zeb2b/tbx16/smc2/man1a2/onecut1/supv3l1/a2ml/bmp2b/rbp4/lars1b/notch2/raraa/vps33b/xbp1/rargb/fscn1a/fzd5/igf2bp1,39
CC,GO:0000228,nuclear chromosome,24/3237,92/19331,0.260869565,1.557883709,2.4054793,0.015193662,0.118828041,0.10383728,pole/cfdp1/slx1b/ruvbl2/anp32e/pold2/pole4/smarcb1a/pold1/actr5/ino80c/srcap/brms1/rpa1/ino80/rpa3/brms1la/orc1/ruvbl1/rad50/mcm10/rpa2/ep400/pole3,24
BP,GO:0002040,sprouting angiogenesis,35/3139,146/18773,0.239726027,1.433697583,2.357261966,0.015210919,0.164382102,0.147653998,hlx1/adgra2/hars/rin2a/e2f7/cxcr4a/ccbe1/rspo3/slc2a1b/twist1a/s1pr1/fn1a/pgfb/aplnrb/abca1a/tnfrsf19/ldb2a/sdc2/scube1/sars1/pkmb/efnb2a/cemip2/tars1/lgals2a/jcada/psme3/reck/iars1/igf2b/arfgef2/gipc2/zap70/dll4/srpx2,35
BP,GO:0006544,glycine metabolic process,5/3139,10/18773,0.5,2.99028353,2.82084801,0.015648378,0.164382102,0.147653998,gcshb/shmt1/tha1/shmt2/gldc,5
BP,GO:0006620,post-translational protein targeting to endoplasmic reticulum membrane,5/3139,10/18773,0.5,2.99028353,2.82084801,0.015648378,0.164382102,0.147653998,zgc:56596/sec61a1a/sgta/sec61g/sec61b,5
