ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
MF,GO:0106019,"phosphatidylinositol-4,5-bisphosphate phosphatase activity",3/721,19/20660,0.157894737,4.524417841,2.922600256,0.027036559,0.468942169,0.449028082,synj1/ptpmt1/ocrl,3
MF,GO:0004721,phosphoprotein phosphatase activity,14/721,226/20660,0.061946903,1.775066586,2.227856087,0.027756702,0.468942169,0.449028082,eya4/tns1a/dusp8a/dusp27/tns1b/ctdspla/ctdsp2/dusp13a/ptpmt1/ptpn3/tns2a/ptprdb/ptpn11b/ptprfb,14
MF,GO:0004540,RNA nuclease activity,8/721,104/20660,0.076923077,2.204203563,2.341088689,0.02912317,0.479412189,0.459053482,mhc1zka/rpp30/mrpl44/rnaseh2a/nob1/endog/tsen2/xrn2,8
MF,GO:0034595,phosphatidylinositol phosphate 5-phosphatase activity,3/721,20/20660,0.15,4.298196949,2.806127051,0.031002771,0.488314575,0.467577819,synj1/ptpmt1/ocrl,3
MF,GO:0035064,methylated histone binding,5/721,51/20660,0.098039216,2.809279051,2.4599868,0.032016776,0.488314575,0.467577819,hdgfl2/cbx8b/zmynd11/glyr1/cbx5,5
MF,GO:0051539,4 iron 4 sulfur cluster binding,5/721,51/20660,0.098039216,2.809279051,2.4599868,0.032016776,0.488314575,0.467577819,elp3/nubp2/dph1/zgc:110319/aco2,5
MF,GO:0016891,RNA endonuclease activity producing 5'-phosphomonoesters,4/721,35/20660,0.114285714,3.274816723,2.561262254,0.032706428,0.488314575,0.467577819,mhc1zka/rpp30/mrpl44/rnaseh2a,4
MF,GO:0140034,methylation-dependent protein binding,5/721,52/20660,0.096153846,2.755254454,2.4098745,0.034443508,0.491394046,0.470526517,hdgfl2/cbx8b/zmynd11/glyr1/cbx5,5
MF,GO:0140938,histone H3 methyltransferase activity,5/721,52/20660,0.096153846,2.755254454,2.4098745,0.034443508,0.491394046,0.470526517,kmt2bb/smyd2b/ehmt1b/ash1l/ezh1,5
MF,GO:1901981,phosphatidylinositol phosphate binding,8/721,109/20660,0.073394495,2.103093308,2.195733424,0.037026884,0.512028194,0.490284416,exoc7/rubcn/svila/dennd1a/hip1/picalma/exoc1/svilc,8
MF,GO:0008017,microtubule binding,14/721,237/20660,0.05907173,1.69267953,2.03947014,0.039096523,0.512028194,0.490284416,prc1b/camsap1b/kif2c/macf1a/kif1aa/kif13a/camsap2a/wasla/katna1/reep1/clip1a/ccdc88c/kif1b/clasp2,14
MF,GO:0005452,solute:inorganic anion antiporter activity,3/721,22/20660,0.136363636,3.907451772,2.594541665,0.039794166,0.512028194,0.490284416,slc4a7/slc4a4a/slc37a4b,3
MF,GO:0016814,hydrolase activity acting on carbon-nitrogen (but not peptide) bonds in cyclic amidines,4/721,38/20660,0.105263158,3.01627856,2.365633887,0.042520376,0.512028194,0.490284416,cdadc1/cdab/mthfd2/ada,4
MF,GO:0016278,lysine N-methyltransferase activity,6/721,74/20660,0.081081081,2.323349702,2.168578227,0.044359638,0.512028194,0.490284416,setd6/kmt2bb/smyd2b/ehmt1b/ash1l/ezh1,6
MF,GO:0016279,protein-lysine N-methyltransferase activity,6/721,74/20660,0.081081081,2.323349702,2.168578227,0.044359638,0.512028194,0.490284416,setd6/kmt2bb/smyd2b/ehmt1b/ash1l/ezh1,6
MF,GO:0000049,tRNA binding,5/721,56/20660,0.089285714,2.558450565,2.220658963,0.045267518,0.512028194,0.490284416,elp3/trmt1l/elp5/aars2/elp1,5
MF,GO:0004176,ATP-dependent peptidase activity,2/721,10/20660,0.2,5.730929265,2.845489715,0.045449543,0.512028194,0.490284416,lonp1/afg3l2,2
MF,GO:0019136,deoxynucleoside kinase activity,2/721,10/20660,0.2,5.730929265,2.845489715,0.045449543,0.512028194,0.490284416,tk2/dguok,2
MF,GO:0051011,microtubule minus-end binding,2/721,10/20660,0.2,5.730929265,2.845489715,0.045449543,0.512028194,0.490284416,camsap1b/camsap2a,2
MF,GO:0016853,isomerase activity,12/721,198/20660,0.060606061,1.736645232,1.980557842,0.045478459,0.512028194,0.490284416,mmut/pdia3/ranbp2/abcc4/eci2/fkbp5/tbxas1/pin4/dkc1/ech1/katna1/ppib,12
MF,GO:0034593,phosphatidylinositol bisphosphate phosphatase activity,4/721,39/20660,0.102564103,2.938938085,2.304687132,0.046121287,0.512028194,0.490284416,synj1/ptpmt1/ocrl/inpp4ab,4
MF,GO:0140030,modification-dependent protein binding,8/721,114/20660,0.070175439,2.010852374,2.058008255,0.046257999,0.512028194,0.490284416,tab2/hdgfl2/tnip2/cbx8b/zmynd11/glyr1/cbx5/brd3a,8
