ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0009967,positive regulation of signal transduction,106/3314,471/18773,0.225053079,1.274870683,2.797244483,0.003857853,0.082398427,0.072255983,avpi1/sp8b/tsc22d3/b4galt5/sall1a/tnfaip3/pim1/cd4-1/cdkn2aip/traf3ip2l/ripk1l/map2k6/vangl2/fgfr4/bcl10/ikbkg/ticam1/atp6ap2/trim62.1/fgf1a/f2rl1.2/ip6k2a/pik3r5/lzts2a/adrb1/cibar1/arhgef3l/slc38a9/igf2b/zranb1b/tmem198ab/vegfaa/lurap1/fgf19/cd226/otud5b/arrb2b/sulf2b/bcar3/amer1/nck2a/map3k7/gid8b/axin1/nlk1/lamtor3/smo/pde6ha/si:dkey-6n21.12/supt5h/waca/sh3rf1/csnk1e/adrb2b/ift88/lamtor1/cemip2/akap12b/lims1/sulf1/slc39a14/mapk8b/mgaa/ndc80/ctsk/fbxl15/ghra/tnfsf11/dmxl2/mapkbp1/rnf111/arnt/ddr2l/ugdh/wnt5b/ctsla/il11b/bambia/si:ch211-243a20.4/adcyap1b/csnk1g2a/tab2/taok1b/gpr137ba/dvl2/tnfsf10/dicp3.3/ngly1/cds2/mib1/angptl2b/il11a/gpr37b/tifa/lgr4/crkl/cpne1/ripk2/dicp1.3-4/nepro/caprin2/bida/ppm1bb/lamtor5/rps3/adrb2a,106
BP,GO:0009156,ribonucleoside monophosphate biosynthetic process,15/3314,42/18773,0.357142857,2.023126994,3.07336777,0.003970112,0.08398788,0.073649791,ampd2b/adka/aprt/gart/prps1b/nudt2/umps/impdh1b/rfk/paics/uck1/dhodh/hprt1/impdh1a/ampd3a,15
BP,GO:0055113,epiboly involved in gastrulation with mouth forming second,18/3314,54/18773,0.333333333,1.888251861,3.026443078,0.003986509,0.08398788,0.073649791,epcam/cyth1a/sdc3/gdf3/megf8/cdk5rap3/cldne/sdcbp2/ltb4r/cdh1/npc1/rnf111/apoa2/pou5f3/arhgef7b/rhov/diaph2/sdc2,18
MF,GO:0004707,MAP kinase activity,9/3228,20/18430,0.45,2.569237918,3.235520689,0.004011893,0.082243802,0.072463614,mapk6/mapk14a/nlk1/mapk14b/mapk8b/mapk9/mapk7/mapk12b/mapk13,9
BP,GO:0035622,intrahepatic bile duct development,9/3314,20/18773,0.45,2.549140012,3.20930593,0.004238828,0.088700331,0.077782185,man1a2/atp6ap2/hnf1ba/jag1b/cldn15lb/vps33b/nckap1l/onecut1/snapc2,9
MF,GO:0016779,nucleotidyltransferase activity,33/3228,120/18430,0.275,1.570089839,2.887068147,0.004256133,0.085311823,0.075166795,pold1/polb/tent5c/papss2b/polr1h/kars1/parp2/ugp2b/sulf2b/polr1d/tent2/pcyt1bb/mtpap/polr2d/thg1l/tent5ab/tent4a/polr2a/polr1a/papolg/uap1/poli/polm/galt/trnt1/terfa/cds2/polr3d/pola1/tert/tent5ba/polk/polr3k,33
BP,GO:0048565,digestive tract development,32/3314,115/18773,0.27826087,1.576279814,2.870057578,0.004495284,0.092815534,0.081390846,klf6a/rbm19/vangl2/dhrs9/myo5b/selenoh/hnf1ba/myod1/hdac1/urb1/smo/nipblb/utp25/epg5/ap1m2/furina/cldn15a/flna/mgaa/rab11fip5a/hand2/ikzf5/mapk7/pctp/slc12a3/gata6/mib1/fgfrl1a/ezh2/wnt3/wtip/sdc2,32
BP,GO:0030177,positive regulation of Wnt signaling pathway,21/3314,67/18773,0.313432836,1.775520406,2.94429277,0.004495425,0.092815534,0.081390846,tnfaip3/cdkn2aip/vangl2/atp6ap2/zranb1b/tmem198ab/sulf2b/amer1/gid8b/nlk1/csnk1e/sulf1/dmxl2/ugdh/wnt5b/bambia/csnk1g2a/dvl2/lgr4/caprin2/ppm1bb,21
BP,GO:0007586,digestion,12/3314,31/18773,0.387096774,2.192808613,3.077403707,0.004568166,0.093692782,0.082160113,uhrf1/myo5b/tp53/ptbp1a/flna/f11r.1/npc1/shank3b/ptger3/nr1h3/sar1b/tert,12
CC,GO:0000307,cyclin-dependent protein kinase holoenzyme complex,13/3396,35/19331,0.371428571,2.114277301,3.045912298,0.004659544,0.051862753,0.044782805,ccni2/ccnb1/cdkn1a/ccne1/cks1b/ccnb2/ccna2/ccnt2a/cks2/ccnf/ccnb3/ccnd2a/ccne2,13
