ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0061919,process utilizing autophagic mechanism,21/678,267/21022,0.078651685,2.438666269,4.318945089,0.000166419,0.021634432,0.020011463,ubxn2a/snx14/rab3gap1/sh3bp4a/rubcn/acbd5a/rab1aa/si:dkey-28b4.8/atg16l1/fyco1a/fbxo32/clec16a/ulk1a/atg4b/prkaa1/fnbp1l/usp13/mtmr14/wdr45/atg9b/retreg3,21
BP,GO:0001736,establishment of planar polarity,4/678,10/21022,0.4,12.40235988,6.583917912,0.000192831,0.02174493,0.020113672,scrib/invs/nphp1/stat3,4
BP,GO:0010975,regulation of neuron projection development,16/678,176/21022,0.090909091,2.818718155,4.423170992,0.000193206,0.02174493,0.020113672,camk2g1/rtn4ip1/plxnb2b/twf1b/dbn1/ddr2a/tncb/reep1/nedd4l/pard3ab/camk2g2/mycbp2/ddr2b/dbnlb/twf2b/rbpms2b,16
BP,GO:0007517,muscle organ development,21/678,271/21022,0.077490775,2.402671195,4.242719969,0.000204216,0.02174493,0.020113672,fermt2/lama4/mbnl2/ttn.2/dpf3/lrrc39/mybpc3/unc45b/nfixa/smo/myo18ab/postnb/fbxo32/pleca/hspg2/pbx4/ttn.1/myot/dmd/sox6/myl1,21
BP,GO:0014706,striated muscle tissue development,22/678,291/21022,0.075601375,2.344088637,4.214903519,0.000206626,0.02174493,0.020113672,fermt2/neb/ttn.2/dpf3/lrrc39/mybpc3/alpk2/unc45b/nfixa/smo/myo18ab/fhod3a/fbxo32/pleca/hspg2/pbx4/ttn.1/myot/mef2cb/dmd/sox6/myl1,22
BP,GO:0048738,cardiac muscle tissue development,13/678,128/21022,0.1015625,3.149036689,4.452063797,0.000257067,0.025823567,0.023886338,fermt2/neb/ttn.2/dpf3/lrrc39/mybpc3/alpk2/unc45b/fhod3a/fbxo32/pbx4/ttn.1/mef2cb,13
BP,GO:0016236,macroautophagy,14/678,146/21022,0.095890411,2.973168465,4.367574374,0.000275839,0.026116938,0.024157701,ubxn2a/snx14/rab3gap1/rubcn/acbd5a/rab1aa/si:dkey-28b4.8/atg16l1/fyco1a/clec16a/atg4b/wdr45/atg9b/retreg3,14
BP,GO:0007164,establishment of tissue polarity,4/678,11/21022,0.363636364,11.27487262,6.222612932,0.000295297,0.026116938,0.024157701,scrib/invs/nphp1/stat3,4
BP,GO:0060047,heart contraction,18/678,220/21022,0.081818182,2.53684634,4.18323826,0.00029544,0.026116938,0.024157701,bin1b/trdn/smyd2b/parvb/ttn.2/lrrc39/ogdhb/mybpc3/si:dkey-28b4.8/alpk2/vegfaa/fbxo32/tnni2a.4/myot/tmem161b/rbpms2b/si:ch211-266g18.10/vcla,18
BP,GO:0007411,axon guidance,23/678,322/21022,0.071428571,2.214707122,4.009938393,0.000339629,0.027799259,0.025713818,ank3a/lama4/plxnb2b/hif1ab/scrib/npr1b/sema3aa/apc/tncb/neo1a/vegfaa/smo/sema3c/ppp1r12a/reep1/enah/pbx4/kif1b/mycbp2/stat3/myot/rbpms2b/si:dkey-49n23.1,23
