ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0016973,poly(A)+ mRNA export from nucleus,8/3864,13/18773,0.615384615,2.989807294,3.653556703,0.001513163,0.027474462,0.023577188,nup93/ddx19b/nxt2/eny2/poldip3/sarnp/zc3h11a/nup133,8
BP,GO:0043248,proteasome assembly,8/3864,13/18773,0.615384615,2.989807294,3.653556703,0.001513163,0.027474462,0.023577188,adrm1/psmd11b/psmg3/ecpas/psmg4/psmd5/psmd9/psmg1,8
CC,GO:0000776,kinetochore,25/3989,68/19331,0.367647059,1.78164585,3.292376371,0.001568945,0.01441606,0.011512927,kif2c/plk3/cfdp1/phf2/septin15/plk1/plk2a/nup133/si:dkey-6i22.5/anapc16/kntc1/gpatch11/ndel1b/dynlt3/septin7a/firrm/ckap5/cenpo/zw10/incenp/clasp2/seh1l/ercc6l/ttk/spout1,25
CC,GO:0000151,ubiquitin ligase complex,72/3989,252/19331,0.285714286,1.384593346,3.133510746,0.001586323,0.01441606,0.011512927,asb2a.1/kbtbd2/klhl41a/cul4b/kbtbd12/dcaf5/cul2/anapc1/pcgf5a/zswim5/kbtbd8/nccrp1/fbxw5/arih2/rbx1/rnf20/fbxo31/ccnf/asb12b/cul3b/fbxl18/arih1/ube2al/keap1a/ivns1abpa/wdr32/ubr2/cbx8b/elob/klhl40a/cbx2/zer1/rnf40/vhl/ube2s/fzr1a/ube4a/ubac1/ypel5/anapc16/cdc23/fem1b/spopla/dda1/fbxw9/spop/amfra/rnf8/keap1b/shrprbck1r/cbx4/ankib1a/traf7/maea/rmnd5b/bmi1a/klhl30/si:ch211-230g15.5/ankib1b/fbxl4/klhl3/spsb3a/rnf11a/rnf14/fbxo2/dcaf8/dcaf11/ube4b/cbx7b/phc1/zyg11l/klhl18,72
BP,GO:0048562,embryonic organ morphogenesis,125/3864,477/18773,0.262054507,1.273175276,3.076607387,0.001625286,0.029339707,0.025177847,ahsa1a/sparc/plxna3/ece1/rbm24a/tinagl1/vgll2a/znf703/hdac4/pkn2a/lum/sec23a/sox11a/mical2b/llgl1/tbx2b/fbn2b/fras1/nid2a/runx3/has2/cct3/clrn2/epcam/mfap5/psmc3/itga5/atp1a2a/jag1b/ccdc57/loxl5b/lrp5/cxcr4a/pdlim7/pmm2/rangrf/hspg2/pkdccb/nkd1/hoxc3a/ilvbl/rerea/bnip3lb/disc1/gnptab/fsta/bicra/sfrp1a/wtip/tcf7l1a/efnb1/fn1a/apobec2a/kdm6a/mef2cb/dlx3b/smoc1/lamc1/rpl13/tafazzin/disp1/eif3ea/pard3ab/znf503/crispld2/bcl9/sox10/npc2.1/pak1/atp2a2a/mgaa/sox4b/hoxa3a/hoxa4a/mia2/nog3/six3b/pitx2/axin1/pdzd7a/crim1/adgrg6/npc1/ncl/shrprbck1r/eya1/tp73/ep300b/cemip2/tln1/plxna2/nr3c1/sec23b/smo/uts2r3/fabp3/cxxc5a/furina/hoxb3a/slc12a2/pkp2/hace1/ntn1a/mmp14a/atp1a1a.1/phactr4a/ppp2r3a/dzip1/chd5/bmpr2b/lamb1a/tfap2a/bbs5/hoxd3a/foxc1a/efnb2a/prdm5/chrd/igfbp3/atp6v0d1/skia/gli2a/htt/nipblb/hoxd4a,125
MF,GO:0017017,MAP kinase tyrosine/serine/threonine phosphatase activity,9/3742,16/18430,0.5625,2.770410208,3.575866295,0.00164392,0.036718286,0.032159525,dusp28/dusp8a/dusp1/si:ch211-195b15.8/dusp4/dusp6/dusp2/dusp10/dusp16,9
BP,GO:0043409,negative regulation of MAPK cascade,15/3864,34/18773,0.441176471,2.143428023,3.397227719,0.001648273,0.029408619,0.025236983,ptpn2a/dusp8a/dusp1/si:ch211-195b15.8/dusp4/si:ch211-121a2.2/spred2b/nf1a/dusp6/il17rd/aida/si:ch211-223p8.8/dusp2/dusp10/dusp16,15
MF,GO:0031406,carboxylic acid binding,29/3742,84/18430,0.345238095,1.700357588,3.247208922,0.001652524,0.036718286,0.032159525,fabp1b.1/tmem175/fabp4a/plod1a/egln1b/fabp7a/slc19a1/si:dkey-238d18.5/p4htmb/sesn1/ptgdsb.1/gprc6a/p3h3/p4ha1a/nr1h4/egln1a/slc7a6/crabp1b/mag/ogfod1/gclc/fabp3/slc38a9/gnmt/nags/slc46a1/fabp2/bckdhbl/ftcd,29
BP,GO:0042176,regulation of protein catabolic process,26/3864,72/18773,0.361111111,1.75443553,3.265168069,0.001657354,0.029408619,0.025236983,csnk1e/psmd2/usp14/oaz1b/hsp90ab1/ubxn1/sh3rf1/gsk3aa/klhl40a/sirt2/rnft2/adam8a/gfap/fzr1a/desi1a/timp2a/vcp/dda1/axin1/tmem259/herpud1/traf7/axin2/asb5b/azin1b/psme2,26
BP,GO:0051168,nuclear export,26/3864,72/18773,0.361111111,1.75443553,3.265168069,0.001657354,0.029408619,0.025236983,nup93/ddx19b/ddx39b/xpo1a/ddx39ab/nup62l/nxt2/xpo1b/eny2/poldip3/sarnp/zc3h11a/mdn1/xpo6/cse1l/thoc7/desi1a/nup133/lzts2a/eif6/ncbp2/nmd3/uhmk1/ltv1/lsg1/nup88,26
