ONTOLOGY,ID,Description,pvalue_ASG_brain_AF,pvalue_ASG_brain_AR,pvalue_ASG_brain_FR,pvalue_DEG_brain_AF,pvalue_DEG_brain_AR,pvalue_DEG_brain_FR
BP,GO:0061548,ganglion development,0.006387701,0.00330185,NA,NA,NA,NA
MF,GO:0005332,gamma-aminobutyric acid:sodium:chloride symporter activity,0.006497732,NA,0.017572579,NA,NA,NA
MF,GO:0015185,gamma-aminobutyric acid transmembrane transporter activity,0.006497732,NA,0.017572579,NA,NA,NA
MF,GO:0035254,glutamate receptor binding,0.006497732,0.018732846,NA,NA,NA,NA
BP,GO:0051293,establishment of spindle localization,0.006639018,0.027375925,0.019537782,NA,NA,NA
BP,GO:0051653,spindle localization,0.006639018,0.027375925,0.019537782,NA,NA,NA
MF,GO:0140938,histone H3 methyltransferase activity,0.007009348,NA,NA,NA,NA,NA
BP,GO:0099111,microtubule-based transport,0.007020048,NA,0.028367629,NA,NA,NA
MF,GO:0101005,deubiquitinase activity,0.007064743,NA,NA,NA,NA,NA
BP,GO:0050684,regulation of mRNA processing,0.007267189,NA,NA,NA,NA,NA
BP,GO:0048883,neuromast primordium migration,0.007276334,0.036607813,NA,NA,NA,NA
CC,GO:0030120,vesicle coat,0.007344838,NA,NA,0.038870304,NA,NA
BP,GO:0040007,growth,0.007505454,NA,7.29734e-4,0.019896862,0.003376081,NA
MF,GO:0016853,isomerase activity,0.007638354,0.041676434,0.04994335,2.15e-5,0.01852601,NA
BP,GO:0032869,cellular response to insulin stimulus,0.00767715,0.021053242,0.021167494,0.00771061,NA,NA
CC,GO:0030688,"preribosome, small subunit precursor",0.007716772,0.032025774,NA,0.015745134,0.032578727,NA
BP,GO:0007030,Golgi organization,0.008047872,0.032817088,0.00379628,NA,NA,NA
BP,GO:0042551,neuron maturation,0.008157174,NA,NA,NA,NA,NA
BP,GO:0048669,collateral sprouting in absence of injury,0.008157174,NA,NA,NA,NA,NA
BP,GO:0048696,regulation of collateral sprouting in absence of injury,0.008157174,NA,NA,NA,NA,NA
BP,GO:1990504,dense core granule exocytosis,0.008157174,NA,0.005999191,NA,NA,NA
BP,GO:0048589,developmental growth,0.008163846,NA,0.00107303,0.016142906,0.008174479,NA
BP,GO:0007416,synapse assembly,0.008183967,NA,NA,NA,NA,NA
BP,GO:0032868,response to insulin,0.0082814,0.019124983,0.012168737,0.006757621,0.045148722,NA
BP,GO:0048892,lateral line nerve development,0.008468868,0.024560976,NA,NA,NA,NA
BP,GO:0061709,reticulophagy,0.008468868,NA,NA,NA,NA,NA
BP,GO:0071277,cellular response to calcium ion,0.008468868,0.024560976,0.0026256,NA,NA,NA
MF,GO:0005253,monoatomic anion channel activity,0.0084898,0.022285422,0.033039169,NA,NA,NA
CC,GO:0012507,ER to Golgi transport vesicle membrane,0.008511439,NA,NA,NA,NA,NA
BP,GO:0031122,cytoplasmic microtubule organization,0.008592349,0.041071394,3.40893e-4,NA,NA,NA
BP,GO:0072583,clathrin-dependent endocytosis,0.008592349,0.003429703,0.002090146,NA,NA,NA
MF,GO:0140994,RNA polymerase II CTD heptapeptide repeat modifying activity,0.008612443,NA,NA,NA,NA,NA
BP,GO:0001764,neuron migration,0.008683521,NA,0.022753591,NA,NA,NA
CC,GO:0031253,cell projection membrane,0.008746796,NA,NA,NA,NA,NA
BP,GO:0021675,nerve development,0.008976441,NA,NA,NA,NA,NA
MF,GO:0001727,lipid kinase activity,0.009181142,0.031445351,NA,NA,NA,NA
MF,GO:0004693,cyclin-dependent protein serine/threonine kinase activity,0.009574973,NA,NA,NA,NA,NA
MF,GO:0097472,cyclin-dependent protein kinase activity,0.009574973,NA,NA,NA,NA,NA
CC,GO:0030424,axon,0.009595878,7.20148e-4,1.45196e-4,NA,NA,NA
BP,GO:0050767,regulation of neurogenesis,0.010094408,NA,NA,0.048442513,NA,NA
BP,GO:0051668,localization within membrane,0.010252381,0.003358165,NA,NA,NA,NA
CC,GO:0030127,COPII vesicle coat,0.010289822,NA,NA,NA,NA,0.017769125
MF,GO:0015296,monoatomic anion:monoatomic cation symporter activity,0.01031401,0.013499757,0.011703462,NA,NA,NA
BP,GO:0050803,regulation of synapse structure or activity,0.010343981,NA,0.043108436,NA,NA,NA
BP,GO:0048882,lateral line development,0.010564426,NA,NA,NA,0.041410539,NA
MF,GO:0005230,extracellular ligand-gated monoatomic ion channel activity,0.010585986,0.001741682,NA,NA,NA,NA
CC,GO:0099568,cytoplasmic region,0.010634349,0.025813512,NA,NA,NA,NA
BP,GO:0007033,vacuole organization,0.01065049,0.010594988,NA,NA,NA,NA
BP,GO:0010256,endomembrane system organization,0.010781008,NA,0.001596506,NA,NA,NA
CC,GO:0071565,nBAF complex,0.010870728,NA,NA,NA,NA,NA
BP,GO:0042407,cristae formation,0.010975834,NA,NA,0.012834028,NA,NA
BP,GO:0048898,anterior lateral line system development,0.010975834,NA,NA,0.012834028,0.011869666,NA
BP,GO:0021537,telencephalon development,0.011047772,NA,NA,NA,NA,NA
MF,GO:0005254,chloride channel activity,0.011155529,0.016145185,0.0405518,NA,NA,NA
MF,GO:0004971,AMPA glutamate receptor activity,0.01115894,8.01617e-4,0.024301087,NA,NA,NA
MF,GO:0008308,voltage-gated monoatomic anion channel activity,0.01115894,NA,NA,NA,NA,NA
MF,GO:0022839,monoatomic ion-gated channel activity,0.01115894,0.005380672,0.024301087,NA,NA,NA
BP,GO:0006913,nucleocytoplasmic transport,0.011477216,NA,NA,0.003733974,NA,NA
BP,GO:0051169,nuclear transport,0.011477216,NA,NA,0.003733974,NA,NA
BP,GO:0043124,negative regulation of canonical NF-kappaB signal transduction,0.011479652,0.043100864,NA,NA,NA,0.013436649
BP,GO:0051865,protein autoubiquitination,0.011479652,NA,NA,NA,NA,NA
BP,GO:0097475,motor neuron migration,0.011479652,NA,NA,NA,NA,NA
BP,GO:0007265,Ras protein signal transduction,0.011513823,NA,NA,NA,NA,NA
BP,GO:0006817,phosphate ion transport,0.011551384,NA,NA,NA,NA,NA
BP,GO:0030308,negative regulation of cell growth,0.011551384,NA,0.011139607,NA,NA,NA
MF,GO:0004972,NMDA glutamate receptor activity,0.011641329,0.006306895,NA,NA,NA,NA
BP,GO:0006893,Golgi to plasma membrane transport,0.011746958,0.001184018,NA,NA,NA,NA
BP,GO:0009126,purine nucleoside monophosphate metabolic process,0.011746958,NA,NA,NA,NA,NA
BP,GO:0009167,purine ribonucleoside monophosphate metabolic process,0.011746958,NA,NA,NA,NA,NA
BP,GO:0046854,phosphatidylinositol phosphate biosynthetic process,0.011746958,NA,NA,NA,NA,NA
BP,GO:0072657,protein localization to membrane,0.011766281,0.010750777,NA,NA,NA,NA
BP,GO:0015698,inorganic anion transport,0.011845845,0.005011584,NA,NA,NA,NA
MF,GO:0098631,cell adhesion mediator activity,0.012018184,0.004317608,4.57711e-4,NA,NA,NA
BP,GO:1903530,regulation of secretion by cell,0.012285354,NA,0.010130893,NA,NA,NA
CC,GO:0099023,vesicle tethering complex,0.01234438,4.58e-6,0.008197985,NA,NA,NA
BP,GO:0046488,phosphatidylinositol metabolic process,0.012354164,0.024721378,NA,NA,NA,NA
MF,GO:0003779,actin binding,0.012847232,NA,0.001903538,NA,NA,NA
BP,GO:0022604,regulation of cell morphogenesis,0.012859906,NA,NA,NA,NA,NA
MF,GO:0051015,actin filament binding,0.012945353,NA,0.015232281,NA,NA,NA
BP,GO:0009127,purine nucleoside monophosphate biosynthetic process,0.013088614,NA,NA,NA,NA,NA
BP,GO:0009168,purine ribonucleoside monophosphate biosynthetic process,0.013088614,NA,NA,NA,NA,NA
CC,GO:0008021,synaptic vesicle,0.013362819,NA,0.006997107,NA,NA,NA
BP,GO:0031110,regulation of microtubule polymerization or depolymerization,0.013502334,0.045930143,3.09291e-4,NA,NA,NA
CC,GO:0034702,monoatomic ion channel complex,0.01357607,5.58e-5,6.81157e-4,NA,NA,NA
BP,GO:0009247,glycolipid biosynthetic process,0.013760473,0.012964006,NA,NA,NA,NA
MF,GO:0019783,ubiquitin-like protein peptidase activity,0.013784444,NA,NA,NA,NA,NA
MF,GO:0045296,cadherin binding,0.013835624,0.001258004,0.001601319,NA,NA,NA
MF,GO:0042393,histone binding,0.013902126,NA,NA,NA,NA,NA
BP,GO:0000272,polysaccharide catabolic process,0.013944949,0.035929333,NA,NA,NA,NA
BP,GO:0005980,glycogen catabolic process,0.013944949,0.035929333,NA,NA,NA,NA
BP,GO:0009251,glucan catabolic process,0.013944949,0.035929333,NA,NA,NA,NA
CC,GO:0042734,presynaptic membrane,0.013961869,NA,0.005072873,NA,NA,NA
BP,GO:0030032,lamellipodium assembly,0.014035179,NA,0.012801523,NA,NA,NA
BP,GO:0021545,cranial nerve development,0.014156002,NA,NA,NA,NA,NA
MF,GO:0015378,sodium:chloride symporter activity,0.014297337,NA,0.01256078,NA,NA,NA
MF,GO:0042800,histone H3K4 methyltransferase activity,0.014297337,NA,NA,NA,NA,NA
CC,GO:1902562,H4 histone acetyltransferase complex,0.014371073,0.001455377,NA,0.006945246,NA,NA
CC,GO:0070161,anchoring junction,0.014406864,NA,NA,NA,NA,NA
MF,GO:0032182,ubiquitin-like protein binding,0.014732843,NA,NA,NA,NA,NA
CC,GO:0098831,presynaptic active zone cytoplasmic component,0.014749498,NA,NA,NA,NA,NA
BP,GO:0007018,microtubule-based movement,0.01480748,NA,0.033163338,NA,0.04704751,NA
BP,GO:0072659,protein localization to plasma membrane,0.014895604,5.22099e-4,NA,NA,NA,NA
BP,GO:0070646,protein modification by small protein removal,0.015237545,NA,NA,NA,NA,NA
BP,GO:0051495,positive regulation of cytoskeleton organization,0.015323049,NA,NA,NA,NA,NA
BP,GO:0007528,neuromuscular junction development,0.015344427,NA,0.032077627,NA,NA,NA
BP,GO:0045926,negative regulation of growth,0.015386412,NA,0.031788099,NA,NA,NA
BP,GO:0050771,negative regulation of axonogenesis,0.015560243,NA,0.009860744,NA,NA,NA
BP,GO:0098887,"neurotransmitter receptor transport, endosome to postsynaptic membrane",0.015560243,NA,NA,NA,NA,NA
BP,GO:0099638,endosome to plasma membrane protein transport,0.015560243,NA,NA,NA,NA,NA
BP,GO:0099639,"neurotransmitter receptor transport, endosome to plasma membrane",0.015560243,NA,NA,NA,NA,NA
BP,GO:0043094,cellular metabolic compound salvage,0.015679733,NA,NA,NA,NA,NA
BP,GO:0007272,ensheathment of neurons,0.015685709,NA,NA,NA,NA,NA
BP,GO:0008366,axon ensheathment,0.015685709,NA,NA,NA,NA,NA
MF,GO:0051117,ATPase binding,0.015775338,0.00863483,NA,NA,NA,NA
BP,GO:0048701,embryonic cranial skeleton morphogenesis,0.015862999,NA,0.003783771,0.039240523,0.005039563,0.017731561
BP,GO:0051960,regulation of nervous system development,0.015959531,NA,NA,NA,NA,NA
BP,GO:0043434,response to peptide hormone,0.016056644,0.020585537,0.007137453,0.030545948,NA,NA
MF,GO:0015291,secondary active transmembrane transporter activity,0.016792305,NA,0.006135538,NA,NA,NA
BP,GO:0006688,glycosphingolipid biosynthetic process,0.016867954,0.032885707,NA,NA,NA,NA
BP,GO:0043113,receptor clustering,0.016867954,0.00827275,NA,NA,NA,NA
CC,GO:0005635,nuclear envelope,0.017013498,NA,0.042481126,NA,NA,NA
MF,GO:0015373,monoatomic anion:sodium symporter activity,0.017178416,0.03086206,0.002324723,NA,NA,NA
BP,GO:0016579,protein deubiquitination,0.017184898,NA,NA,NA,NA,NA
CC,GO:0009925,basal plasma membrane,0.017334504,0.03080904,NA,NA,NA,NA
CC,GO:0048471,perinuclear region of cytoplasm,0.017336965,NA,0.008870516,NA,NA,NA
BP,GO:0048015,phosphatidylinositol-mediated signaling,0.017409297,NA,NA,NA,NA,NA
BP,GO:0006886,intracellular protein transport,0.017461846,NA,NA,0.009137911,NA,NA
MF,GO:0098960,postsynaptic neurotransmitter receptor activity,0.017479367,0.010234052,NA,NA,NA,NA
CC,GO:0005871,kinesin complex,0.017847225,0.020231055,0.035007441,NA,NA,NA
MF,GO:0004712,protein serine/threonine/tyrosine kinase activity,0.018322033,0.026628121,NA,NA,NA,NA
CC,GO:0070382,exocytic vesicle,0.018407182,NA,0.009281316,NA,NA,NA
BP,GO:0071375,cellular response to peptide hormone stimulus,0.018433821,0.028747201,0.007245293,0.017033941,NA,NA
BP,GO:0016197,endosomal transport,0.018467154,0.009741783,NA,NA,NA,NA
CC,GO:0034707,chloride channel complex,0.018538992,0.018402681,NA,NA,NA,NA
CC,GO:0031594,neuromuscular junction,0.019400381,NA,NA,NA,NA,NA
BP,GO:0006888,endoplasmic reticulum to Golgi vesicle-mediated transport,0.019422193,NA,NA,NA,NA,NA
BP,GO:0048705,skeletal system morphogenesis,0.019542993,NA,0.005111148,NA,0.008029648,0.027198206
BP,GO:0051049,regulation of transport,0.019575513,NA,NA,NA,NA,NA
BP,GO:0006914,autophagy,0.019975954,NA,NA,0.007883185,NA,NA
BP,GO:0061919,process utilizing autophagic mechanism,0.019975954,NA,NA,0.007883185,NA,NA
CC,GO:0005905,clathrin-coated pit,0.020059947,0.022489282,0.037581942,NA,NA,NA
CC,GO:0048786,presynaptic active zone,0.020059947,NA,0.037581942,NA,NA,NA
BP,GO:0047496,vesicle transport along microtubule,0.020070488,NA,NA,NA,NA,NA
BP,GO:0016311,dephosphorylation,0.020162675,NA,NA,NA,NA,NA
BP,GO:0006338,chromatin remodeling,0.020228095,NA,NA,NA,0.043218466,NA
MF,GO:0017124,SH3 domain binding,0.02043444,0.035576233,NA,NA,NA,NA
BP,GO:0034612,response to tumor necrosis factor,0.020446619,NA,NA,NA,NA,NA
BP,GO:0071356,cellular response to tumor necrosis factor,0.020446619,NA,NA,NA,NA,NA
BP,GO:0035384,thioester biosynthetic process,0.020485136,0.027375925,NA,NA,NA,NA
BP,GO:0071616,acyl-CoA biosynthetic process,0.020485136,0.027375925,NA,NA,NA,NA
MF,GO:0061665,SUMO ligase activity,0.020723974,NA,NA,NA,NA,NA
BP,GO:0031109,microtubule polymerization or depolymerization,0.020792881,NA,2.2e-5,NA,NA,NA
BP,GO:0017158,regulation of calcium ion-dependent exocytosis,0.020814315,NA,0.001566306,NA,NA,NA
BP,GO:0040001,establishment of mitotic spindle localization,0.020814315,0.032467447,NA,NA,NA,NA
BP,GO:0048640,negative regulation of developmental growth,0.02139828,NA,0.037157052,NA,NA,NA
BP,GO:0051592,response to calcium ion,0.02139828,0.049865518,0.005897222,NA,NA,NA
BP,GO:1901379,regulation of potassium ion transmembrane transport,0.02139828,0.049865518,0.005897222,NA,NA,0.023486235
MF,GO:0000149,SNARE binding,0.021930959,NA,NA,NA,NA,NA
CC,GO:1904949,ATPase complex,0.022047568,0.005278837,NA,0.007147776,NA,NA
MF,GO:0042802,identical protein binding,0.022205973,NA,NA,NA,NA,NA
BP,GO:1904888,cranial skeletal system development,0.022644796,NA,0.031331889,NA,0.012329342,NA
BP,GO:0048919,posterior lateral line neuromast development,0.023242993,NA,NA,NA,NA,NA
BP,GO:0051054,positive regulation of DNA metabolic process,0.023242993,NA,NA,NA,NA,NA
BP,GO:0001894,tissue homeostasis,0.023356509,NA,NA,NA,NA,NA
MF,GO:0008081,phosphoric diester hydrolase activity,0.023395302,0.027409872,1.15975e-4,NA,NA,NA
BP,GO:0043266,regulation of potassium ion transport,0.023661879,0.043300999,0.01870373,NA,NA,0.042631995
BP,GO:0046928,regulation of neurotransmitter secretion,0.023661879,NA,NA,NA,NA,NA
BP,GO:0006486,protein glycosylation,0.023854147,8.64993e-4,7.6e-5,NA,NA,NA
BP,GO:0043413,macromolecule glycosylation,0.023854147,8.64993e-4,7.6e-5,NA,NA,NA
BP,GO:0008286,insulin receptor signaling pathway,0.023973178,NA,0.009604288,0.041945422,NA,NA
BP,GO:0019674,NAD metabolic process,0.023973178,NA,NA,0.011775145,NA,NA
BP,GO:0035329,hippo signaling,0.023973178,0.002875615,0.009604288,NA,NA,NA
CC,GO:0035371,microtubule plus-end,0.024415046,NA,8.36593e-4,NA,NA,NA
MF,GO:0015377,chloride:monoatomic cation symporter activity,0.024447722,NA,0.04095876,NA,NA,NA
BP,GO:0030318,melanocyte differentiation,0.024582521,NA,NA,NA,NA,NA
CC,GO:0008328,ionotropic glutamate receptor complex,0.02506709,0.002980333,0.043070549,NA,NA,NA
CC,GO:0098878,neurotransmitter receptor complex,0.02506709,0.002980333,0.043070549,NA,NA,NA
BP,GO:0032535,regulation of cellular component size,0.025543441,NA,NA,NA,NA,NA
BP,GO:0001678,intracellular glucose homeostasis,0.025937291,NA,NA,NA,NA,NA
BP,GO:0034315,regulation of Arp2/3 complex-mediated actin nucleation,0.025937291,NA,NA,NA,NA,NA
BP,GO:0043101,purine-containing compound salvage,0.025937291,NA,NA,NA,NA,NA
BP,GO:0046040,IMP metabolic process,0.025937291,NA,NA,NA,NA,NA
BP,GO:0006086,acetyl-CoA biosynthetic process from pyruvate,0.026175119,NA,NA,NA,NA,NA
BP,GO:0007035,vacuolar acidification,0.026175119,NA,NA,NA,NA,NA
BP,GO:0032261,purine nucleotide salvage,0.026175119,NA,NA,NA,NA,NA
BP,GO:0048918,posterior lateral line nerve development,0.026175119,NA,NA,NA,NA,NA
BP,GO:0048704,embryonic skeletal system morphogenesis,0.026322678,NA,0.003921929,NA,0.00994457,0.03033885
MF,GO:0008200,ion channel inhibitor activity,0.026523467,NA,NA,NA,NA,NA
MF,GO:0016248,channel inhibitor activity,0.026523467,NA,NA,NA,NA,NA
MF,GO:0019894,kinesin binding,0.026523467,2.57048e-4,NA,NA,NA,NA
MF,GO:0051010,microtubule plus-end binding,0.026523467,NA,0.001561032,NA,NA,NA
MF,GO:0051864,histone H3K36 demethylase activity,0.026523467,NA,NA,NA,NA,NA
MF,GO:0141110,transporter inhibitor activity,0.026523467,NA,NA,NA,NA,NA
BP,GO:0006814,sodium ion transport,0.026772602,0.018540234,1.57e-5,NA,NA,NA
BP,GO:0006821,chloride transport,0.026889275,0.015720958,NA,NA,NA,NA
BP,GO:0009062,fatty acid catabolic process,0.027625163,0.003497874,NA,0.00913672,0.012341121,NA
BP,GO:0051090,regulation of DNA-binding transcription factor activity,0.027659362,NA,NA,NA,NA,NA
BP,GO:0030100,regulation of endocytosis,0.027778606,NA,NA,NA,NA,NA
MF,GO:0016706,2-oxoglutarate-dependent dioxygenase activity,0.027859497,0.007932175,NA,NA,NA,NA
MF,GO:0005272,sodium channel activity,0.027982068,7.06261e-4,3.2945e-4,NA,NA,NA
MF,GO:0015355,secondary active monocarboxylate transmembrane transporter activity,0.028146013,NA,NA,NA,NA,NA
MF,GO:0030159,signaling receptor complex adaptor activity,0.028146013,NA,NA,NA,NA,NA
MF,GO:0141052,histone H3 demethylase activity,0.028146013,0.012912675,NA,NA,NA,NA
BP,GO:0043491,phosphatidylinositol 3-kinase/protein kinase B signal transduction,0.028553311,NA,NA,NA,NA,NA
CC,GO:0016323,basolateral plasma membrane,0.029087636,0.030183587,NA,NA,NA,NA
BP,GO:0046467,membrane lipid biosynthetic process,0.029120283,0.007374887,NA,NA,NA,NA
BP,GO:0042552,myelination,0.029498288,NA,NA,NA,NA,NA
BP,GO:0070085,glycosylation,0.029676347,0.001150288,1.85843e-4,NA,NA,NA
CC,GO:0030117,membrane coat,0.029887463,NA,NA,NA,NA,NA
CC,GO:0048475,coated membrane,0.029887463,NA,NA,NA,NA,NA
BP,GO:0060271,cilium assembly,0.030295176,NA,NA,NA,NA,NA
BP,GO:0031290,retinal ganglion cell axon guidance,0.030441884,0.012419296,0.014352476,NA,NA,NA
CC,GO:0030665,clathrin-coated vesicle membrane,0.030491308,NA,NA,NA,NA,NA
CC,GO:0034704,calcium channel complex,0.030491308,5.08e-5,2.39228e-4,NA,NA,NA
CC,GO:0005819,spindle,0.030513593,NA,NA,NA,NA,NA
BP,GO:0060249,anatomical structure homeostasis,0.030805716,NA,NA,NA,NA,NA
CC,GO:0030134,COPII-coated ER to Golgi transport vesicle,0.030901086,NA,NA,NA,NA,NA
CC,GO:0030427,site of polarized growth,0.030901086,0.012073428,NA,NA,NA,NA
MF,GO:0016278,lysine N-methyltransferase activity,0.030996337,NA,NA,NA,NA,NA
MF,GO:0016279,protein-lysine N-methyltransferase activity,0.030996337,NA,NA,NA,NA,NA
BP,GO:0006760,folic acid-containing compound metabolic process,0.031047498,NA,NA,NA,NA,NA
BP,GO:0099175,regulation of postsynapse organization,0.031047498,NA,NA,NA,NA,NA
BP,GO:0006820,monoatomic anion transport,0.031060231,0.007172896,0.045733227,NA,NA,NA
BP,GO:0099518,vesicle cytoskeletal trafficking,0.031245478,NA,NA,NA,NA,NA
BP,GO:1901293,nucleoside phosphate biosynthetic process,0.031682342,NA,NA,1.1e-6,NA,NA
BP,GO:0005975,carbohydrate metabolic process,0.032433618,NA,NA,0.04417657,NA,NA
MF,GO:0004697,diacylglycerol-dependent serine/threonine kinase activity,0.032633969,NA,NA,NA,NA,NA
MF,GO:0031624,ubiquitin conjugating enzyme binding,0.032633969,NA,NA,NA,NA,NA
MF,GO:0032452,histone demethylase activity,0.032633969,0.015131101,NA,NA,NA,NA
MF,GO:0070063,RNA polymerase binding,0.032633969,NA,NA,NA,NA,NA
MF,GO:0140457,protein demethylase activity,0.032633969,0.015131101,NA,NA,NA,NA
BP,GO:0006734,NADH metabolic process,0.032770925,NA,NA,0.008034806,NA,NA
BP,GO:0031632,positive regulation of synaptic vesicle fusion to presynaptic active zone membrane,0.032770925,NA,NA,NA,NA,NA
BP,GO:0034248,regulation of amide metabolic process,0.032770925,NA,NA,NA,NA,NA
BP,GO:0045685,regulation of glial cell differentiation,0.032770925,NA,NA,NA,NA,NA
BP,GO:0099502,calcium-dependent activation of synaptic vesicle fusion,0.032770925,NA,NA,NA,NA,NA
BP,GO:0120316,sperm flagellum assembly,0.032770925,NA,0.002065526,NA,NA,NA
BP,GO:1901634,positive regulation of synaptic vesicle membrane organization,0.032770925,NA,NA,NA,NA,NA
BP,GO:0048024,"regulation of mRNA splicing, via spliceosome",0.032977118,NA,NA,NA,NA,NA
MF,GO:0005227,calcium-activated cation channel activity,0.033198712,0.018732846,NA,NA,NA,NA
MF,GO:0019789,SUMO transferase activity,0.033198712,NA,NA,NA,NA,NA
BP,GO:0006892,post-Golgi vesicle-mediated transport,0.033594115,0.004550517,NA,NA,NA,NA
BP,GO:0006397,mRNA processing,0.033599777,0.008257086,NA,1.63e-5,2.0284e-4,NA
BP,GO:0007254,JNK cascade,0.033708734,NA,0.015572249,NA,NA,NA
BP,GO:0051094,positive regulation of developmental process,0.034034547,NA,NA,NA,NA,NA
BP,GO:0006403,RNA localization,0.034248841,NA,NA,4.6897e-4,NA,NA
BP,GO:0043085,positive regulation of catalytic activity,0.034248841,0.001671709,NA,NA,NA,NA
BP,GO:0051050,positive regulation of transport,0.034248841,0.048849097,0.001200771,NA,NA,NA
BP,GO:0001667,ameboidal-type cell migration,0.034601616,0.027991153,0.005320206,NA,NA,NA
CC,GO:0016514,SWI/SNF complex,0.03465811,NA,NA,NA,NA,NA
BP,GO:0006493,protein O-linked glycosylation,0.034720585,0.028228059,8.71825e-4,NA,NA,NA
BP,GO:0070507,regulation of microtubule cytoskeleton organization,0.034720585,NA,8.71825e-4,NA,NA,NA
CC,GO:0036064,ciliary basal body,0.034751802,NA,NA,NA,NA,NA
BP,GO:0008088,axo-dendritic transport,0.035381527,NA,NA,NA,NA,NA
MF,GO:0051020,GTPase binding,0.035811876,NA,NA,NA,NA,NA
MF,GO:0008170,N-methyltransferase activity,0.035888211,NA,NA,NA,NA,NA
CC,GO:0000123,histone acetyltransferase complex,0.036649934,0.004652523,NA,5.66e-5,0.026988721,NA
BP,GO:0006085,acetyl-CoA biosynthetic process,0.0367457,NA,NA,NA,NA,NA
BP,GO:0031345,negative regulation of cell projection organization,0.0367457,NA,NA,NA,NA,NA
BP,GO:0046777,protein autophosphorylation,0.0367457,0.02046458,NA,NA,NA,NA
BP,GO:0098930,axonal transport,0.036931313,NA,0.026052421,NA,NA,NA
BP,GO:0099637,neurotransmitter receptor transport,0.036931313,NA,NA,NA,NA,NA
BP,GO:0031017,exocrine pancreas development,0.037209498,0.040942573,0.016861923,NA,NA,NA
BP,GO:0035272,exocrine system development,0.037209498,0.040942573,0.016861923,NA,NA,NA
CC,GO:0017146,NMDA selective glutamate receptor complex,0.037243837,0.024474716,0.045811902,NA,NA,NA
BP,GO:0043604,amide biosynthetic process,0.037262555,0.004312776,NA,NA,NA,NA
MF,GO:0140161,monocarboxylate:sodium symporter activity,0.037300304,NA,NA,NA,NA,NA
MF,GO:0004112,cyclic-nucleotide phosphodiesterase activity,0.037561403,NA,0.025586199,NA,NA,NA
MF,GO:0044390,ubiquitin-like protein conjugating enzyme binding,0.037561403,NA,NA,NA,NA,NA
BP,GO:0050657,nucleic acid transport,0.03868964,NA,NA,7.95551e-4,NA,NA
BP,GO:0050658,RNA transport,0.03868964,NA,NA,7.95551e-4,NA,NA
BP,GO:0051236,establishment of RNA localization,0.03868964,NA,NA,7.95551e-4,NA,NA
BP,GO:0006047,UDP-N-acetylglucosamine metabolic process,0.038778329,NA,NA,NA,NA,NA
BP,GO:0006167,AMP biosynthetic process,0.038778329,NA,NA,NA,NA,NA
BP,GO:0015886,heme transport,0.038778329,NA,NA,NA,NA,NA
BP,GO:0018022,peptidyl-lysine methylation,0.038778329,NA,NA,NA,NA,NA
BP,GO:0042762,regulation of sulfur metabolic process,0.038778329,NA,NA,NA,NA,NA
BP,GO:0046471,phosphatidylglycerol metabolic process,0.038778329,NA,NA,NA,NA,NA
BP,GO:0048026,"positive regulation of mRNA splicing, via spliceosome",0.038778329,NA,0.047190813,NA,NA,NA
BP,GO:0050685,positive regulation of mRNA processing,0.038778329,NA,0.047190813,NA,NA,NA
BP,GO:0071108,protein K48-linked deubiquitination,0.038778329,NA,0.047190813,NA,NA,NA
BP,GO:0098700,neurotransmitter loading into synaptic vesicle,0.038778329,NA,0.047190813,NA,NA,NA
BP,GO:0150105,protein localization to cell-cell junction,0.038778329,0.026013561,0.047190813,NA,NA,NA
BP,GO:1905477,positive regulation of protein localization to membrane,0.038778329,0.026013561,NA,NA,NA,NA
BP,GO:0010038,response to metal ion,0.039023975,0.005453119,0.019761732,NA,NA,NA
MF,GO:0004176,ATP-dependent peptidase activity,0.039182348,NA,0.046714814,NA,NA,NA
MF,GO:0016308,1-phosphatidylinositol-4-phosphate 5-kinase activity,0.039182348,NA,NA,NA,NA,NA
BP,GO:0036269,swimming behavior,0.039395843,0.012264825,0.01344898,NA,NA,NA
MF,GO:0016747,"acyltransferase activity, transferring groups other than amino-acyl groups",0.039402002,NA,NA,6.8181e-4,NA,NA
BP,GO:0001755,neural crest cell migration,0.039766925,0.042476174,0.009476944,0.034809251,NA,NA
BP,GO:0046328,regulation of JNK cascade,0.039863888,0.019131069,0.01470294,NA,NA,NA
MF,GO:0042054,histone methyltransferase activity,0.039998087,NA,NA,NA,NA,NA
BP,GO:0001941,postsynaptic membrane organization,0.04024848,NA,NA,NA,NA,NA
BP,GO:0006611,protein export from nucleus,0.04024848,NA,NA,NA,NA,NA
BP,GO:0022010,central nervous system myelination,0.04024848,NA,NA,NA,NA,NA
BP,GO:0032291,axon ensheathment in central nervous system,0.04024848,NA,NA,NA,NA,NA
BP,GO:0043271,negative regulation of monoatomic ion transport,0.04024848,0.024560976,NA,NA,NA,0.015723701
BP,GO:0045597,positive regulation of cell differentiation,0.040292388,NA,NA,NA,0.04592826,NA
BP,GO:1905037,autophagosome organization,0.040568075,NA,NA,NA,NA,NA
BP,GO:0044782,cilium organization,0.040658812,NA,NA,NA,NA,NA
BP,GO:0009161,ribonucleoside monophosphate metabolic process,0.040950379,NA,NA,0.026500534,NA,NA
