ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,,,,,,,,,,,,,,,,,,,,,
BP,GO:1905475,regulation of protein localization to membrane,5/653,31/21022,0.161290323,5.192412192,4.182410734,0.002476406,0.239858522,0.234361361,camk2g1/c2cd5/camk2d1/mffa/camk2g2,5,,,,,,,,,,,,,,,,,,,,,
BP,GO:0072659,protein localization to plasma membrane,11/653,131/21022,0.083969466,2.703225279,3.501277638,0.002613337,0.239858522,0.234361361,camk2g1/hycc2/c2cd5/scrib/ank2b/pacs2/camk2d1/pacs1a/efr3a/camk2g2/phaf1,11,,,,,,,,,,,,,,,,,,,,,
BP,GO:0048588,developmental cell growth,11/653,132/21022,0.083333333,2.682746299,3.472440496,0.002773125,0.239858522,0.234361361,myo10l1/katna1/plxnb1b/nrxn2a/pard3ab/stim1a/kif1b/mycbp2/fus/ext2/dbnlb,11,,,,,,,,,,,,,,,,,,,,,
BP,GO:0046486,glycerolipid metabolic process,18/653,278/21022,0.064748201,2.084435973,3.258955906,0.00281167,0.239858522,0.234361361,pi4kb/pgap2/synj1/hycc2/pikfyve/pip4k2aa/impa1/cetp/pnpla6/gpat3/etnk1/slc30a5/mogat2/crls1/inpp5l/dgkh/ocrl/zgc:172295,18,,,,,,,,,,,,,,,,,,,,,
BP,GO:0042762,regulation of sulfur metabolic process,3/653,10/21022,0.3,9.657886677,4.903166302,0.003040612,0.239858522,0.234361361,cbsb/pdk4/pdk2a,3,,,,,,,,,,,,,,,,,,,,,
BP,GO:0090110,COPII-coated vesicle cargo loading,3/653,10/21022,0.3,9.657886677,4.903166302,0.003040612,0.239858522,0.234361361,sec24c/sec23a/sec24a,3,,,,,,,,,,,,,,,,,,,,,
BP,GO:1990138,neuron projection extension,10/653,115/21022,0.086956522,2.799387443,3.464385152,0.003125536,0.239858522,0.234361361,myo10l1/katna1/plxnb1b/nrxn2a/stim1a/kif1b/mycbp2/fus/ext2/dbnlb,10,,,,,,,,,,,,,,,,,,,,,
BP,GO:0006897,endocytosis,22/653,373/21022,0.058981233,1.898780222,3.135861215,0.003248086,0.239858522,0.234361361,reps1/met/synj1/rubcn/pikfyve/si:dkey-32e23.4/cltcb/hip1/sh3gl3a/picalma/csnk1g1/ywhaba/havcr1/clta/pacsin2/usp20/itsn1/elmo2/ocrl/gak/dennd1a/usp33,22,,,,,,,,,,,,,,,,,,,,,
BP,GO:0009063,amino acid catabolic process,10/653,116/21022,0.086206897,2.775254792,3.432832695,0.003327808,0.239858522,0.234361361,hal/gcshb/uroc1/gldc/sardh/kmo/haao/oat/tat/cdo1,10,,,,,,,,,,,,,,,,,,,,,
BP,GO:0035268,protein mannosylation,4/653,21/21022,0.19047619,6.131991541,4.212830776,0.003622773,0.239858522,0.234361361,pomt2/large2/tmtc4/pomt1,4,,,,,,,,,,,,,,,,,,,,,
BP,GO:0035269,protein O-linked mannosylation,4/653,21/21022,0.19047619,6.131991541,4.212830776,0.003622773,0.239858522,0.234361361,pomt2/large2/tmtc4/pomt1,4,,,,,,,,,,,,,,,,,,,,,
BP,GO:0090114,COPII-coated vesicle budding,4/653,21/21022,0.19047619,6.131991541,4.212830776,0.003622773,0.239858522,0.234361361,sec24c/sec16b/sec23a/sec24a,4,,,,,,,,,,,,,,,,,,,,,
BP,GO:0097502,mannosylation,4/653,21/21022,0.19047619,6.131991541,4.212830776,0.003622773,0.239858522,0.234361361,pomt2/large2/tmtc4/pomt1,4,,,,,,,,,,,,,,,,,,,,,
BP,GO:0072657,protein localization to membrane,19/653,308/21022,0.061688312,1.985929079,3.12095474,0.003714123,0.239858522,0.234361361,camk2g1/gphna/hycc2/c2cd5/scrib/rab41/stx1b/ank2b/zdhhc14/pacs2/camk2d1/mffa/pacs1a/efr3a/camk2g2/arl5a/phaf1/sec61b/tm9sf4,19,,,,,,,,,,,,,,,,,,,,,
BP,GO:0090407,organophosphate biosynthetic process,25/653,449/21022,0.055679287,1.792480823,3.039215826,0.003778953,0.239858522,0.234361361,gphna/pdk4/pi4kb/pgap2/hycc2/tpk1/pip4k2aa/impa1/gnpnat1/prpsap2/gpat3/acaca/acss2/etnk1/ampd2b/slc30a5/nadkb/impdh1b/chpt1/kmo/crls1/pdk2a/haao/zgc:172295/acsl1a,25,,,,,,,,,,,,,,,,,,,,,
BP,GO:0034440,lipid oxidation,7/653,65/21022,0.107692308,3.466933679,3.566547549,0.003951403,0.244025824,0.238433156,zgc:85777/acox3/decr1/crot/ech1/phyh/hao1,7,,,,,,,,,,,,,,,,,,,,,
BP,GO:0009074,aromatic amino acid family catabolic process,5/653,35/21022,0.142857143,4.598993656,3.815384795,0.004273102,0.253133042,0.247331651,hal/uroc1/kmo/haao/tat,5,,,,,,,,,,,,,,,,,,,,,
BP,GO:0002098,tRNA wobble uridine modification,4/653,22/21022,0.181818182,5.853264653,4.077876699,0.004320433,0.253133042,0.247331651,alkbh8/urm1/elp1/elp6,4,,,,,,,,,,,,,,,,,,,,,
BP,GO:0006650,glycerophospholipid metabolic process,15/653,227/21022,0.066079295,2.127287814,3.057501659,0.005056701,0.276373545,0.270039521,pi4kb/pgap2/synj1/hycc2/pikfyve/pip4k2aa/impa1/cetp/pnpla6/gpat3/etnk1/slc30a5/crls1/inpp5l/ocrl,15,,,,,,,,,,,,,,,,,,,,,
BP,GO:0006544,glycine metabolic process,3/653,12/21022,0.25,8.048238897,4.372770006,0.005321854,0.276373545,0.270039521,gcshb/agxtb/gldc,3,,,,,,,,,,,,,,,,,,,,,
BP,GO:0035459,vesicle cargo loading,3/653,12/21022,0.25,8.048238897,4.372770006,0.005321854,0.276373545,0.270039521,sec24c/sec23a/sec24a,3,,,,,,,,,,,,,,,,,,,,,
BP,GO:0046037,GMP metabolic process,3/653,12/21022,0.25,8.048238897,4.372770006,0.005321854,0.276373545,0.270039521,impdh1b/nt5c2a/nt5c2b,3,,,,,,,,,,,,,,,,,,,,,
BP,GO:0097475,motor neuron migration,3/653,12/21022,0.25,8.048238897,4.372770006,0.005321854,0.276373545,0.270039521,scrib/rest/nhsl1b,3,,,,,,,,,,,,,,,,,,,,,
BP,GO:0170039,proteinogenic amino acid metabolic process,12/653,165/21022,0.072727273,2.341305861,3.097007781,0.005520769,0.280332363,0.273907609,cbsb/hal/gcshb/uroc1/agxtb/gldc/mtrr/kmo/haao/oat/tat/cdo1,12,,,,,,,,,,,,,,,,,,,,,
BP,GO:0051640,organelle localization,20/653,344/21022,0.058139535,1.871683465,2.918651129,0.005696915,0.282988037,0.276502419,akap9/synj1/ift88/sec16b/scrib/stx1b/si:dkey-32e23.4/kif13a/si:ch211-235m3.5/picalma/rims1a/clasp1a/rab3ip/pard3ab/kif1b/diaph2/ocrl/borcs6/rhot1b/pam,20,,,,,,,,,,,,,,,,,,,,,
BP,GO:0002097,tRNA wobble base modification,4/653,24/21022,0.166666667,5.365492598,3.831319182,0.005975738,0.290522587,0.28386429,alkbh8/urm1/elp1/elp6,4,,,,,,,,,,,,,,,,,,,,,
BP,GO:0170033,L-amino acid metabolic process,12/653,170/21022,0.070588235,2.272443924,2.982549619,0.006962737,0.331455295,0.323858888,cbsb/hal/gcshb/uroc1/agxtb/gldc/mtrr/kmo/haao/oat/tat/cdo1,12,,,,,,,,,,,,,,,,,,,,,
BP,GO:1901605,alpha-amino acid metabolic process,13/653,193/21022,0.067357513,2.168437423,2.919767872,0.007467931,0.341973578,0.334136109,cbsb/hal/gcshb/uroc1/agxtb/gldc/sardh/mtrr/kmo/haao/oat/tat/cdo1,13,,,,,,,,,,,,,,,,,,,,,
BP,GO:0009062,fatty acid catabolic process,7/653,73/21022,0.095890411,3.086995741,3.198156907,0.00748301,0.341973578,0.334136109,zgc:85777/acox3/decr1/crot/ech1/phyh/hao1,7,,,,,,,,,,,,,,,,,,,,,
BP,GO:0000041,transition metal ion transport,7/653,74/21022,0.094594595,3.045279583,3.155699804,0.008049486,0.35371297,0.345606454,tmem165/atp2c1/slc30a5/slc39a14/cp/steap4/slc25a39,7,,,,,,,,,,,,,,,,,,,,,
BP,GO:0140053,mitochondrial gene expression,7/653,74/21022,0.094594595,3.045279583,3.155699804,0.008049486,0.35371297,0.345606454,rars2/fastk/rcc1l/polrmt/cdk5rap1/kansl3/tbrg4,7,,,,,,,,,,,,,,,,,,,,,
BP,GO:1904263,positive regulation of TORC1 signaling,4/653,27/21022,0.148148148,4.769326754,3.509022495,0.00917182,0.395426598,0.386364075,waca/mios/otud5b/lamtor3,4,,,,,,,,,,,,,,,,,,,,,
BP,GO:0030258,lipid modification,11/653,157/21022,0.070063694,2.255557398,2.827324299,0.010062439,0.419049785,0.409445857,zgc:85777/synj1/acox3/decr1/porcnl/crot/ech1/phyh/inpp5l/ocrl/hao1,11,,,,,,,,,,,,,,,,,,,,,
BP,GO:0016973,poly(A)+ mRNA export from nucleus,3/653,15/21022,0.2,6.438591118,3.772666742,0.010269929,0.419049785,0.409445857,nxt2/sarnp/ddx19b,3,,,,,,,,,,,,,,,,,,,,,
BP,GO:1903076,regulation of protein localization to plasma membrane,3/653,15/21022,0.2,6.438591118,3.772666742,0.010269929,0.419049785,0.409445857,camk2g1/camk2d1/camk2g2,3,,,,,,,,,,,,,,,,,,,,,
BP,GO:0046488,phosphatidylinositol metabolic process,10/653,138/21022,0.072463768,2.332822869,2.81257142,0.011054233,0.435034061,0.425063799,pi4kb/pgap2/synj1/hycc2/pikfyve/pip4k2aa/impa1/slc30a5/inpp5l/ocrl,10,,,,,,,,,,,,,,,,,,,,,
BP,GO:0035384,thioester biosynthetic process,5/653,44/21022,0.113636364,3.658290408,3.160422497,0.01138133,0.435034061,0.425063799,pdk4/acaca/acss2/pdk2a/acsl1a,5,,,,,,,,,,,,,,,,,,,,,
BP,GO:0071616,acyl-CoA biosynthetic process,5/653,44/21022,0.113636364,3.658290408,3.160422497,0.01138133,0.435034061,0.425063799,pdk4/acaca/acss2/pdk2a/acsl1a,5,,,,,,,,,,,,,,,,,,,,,
BP,GO:0007411,axon guidance,18/653,322/21022,0.055900621,1.799606213,2.588912341,0.012298855,0.435034061,0.425063799,met/hif1ab/scrib/sema6d/neo1a/plxnb1b/ppp1r12a/nrxn2a/rest/stim1a/rtn4a/enah/kif1b/mycbp2/stat3/ext2/rbpms2b/usp33,18,,,,,,,,,,,,,,,,,,,,,
BP,GO:0097485,neuron projection guidance,18/653,322/21022,0.055900621,1.799606213,2.588912341,0.012298855,0.435034061,0.425063799,met/hif1ab/scrib/sema6d/neo1a/plxnb1b/ppp1r12a/nrxn2a/rest/stim1a/rtn4a/enah/kif1b/mycbp2/stat3/ext2/rbpms2b/usp33,18,,,,,,,,,,,,,,,,,,,,,
BP,GO:0043605,amide catabolic process,3/653,16/21022,0.1875,6.036179173,3.6081776,0.012352353,0.435034061,0.425063799,pm20d1.2/hal/uroc1,3,,,,,,,,,,,,,,,,,,,,,
BP,GO:1904375,regulation of protein localization to cell periphery,3/653,16/21022,0.1875,6.036179173,3.6081776,0.012352353,0.435034061,0.425063799,camk2g1/camk2d1/camk2g2,3,,,,,,,,,,,,,,,,,,,,,
BP,GO:0001764,neuron migration,6/653,62/21022,0.096774194,3.115447315,2.986763546,0.012375148,0.435034061,0.425063799,met/scrib/neo1a/disc1/rest/nhsl1b,6,,,,,,,,,,,,,,,,,,,,,
BP,GO:0060113,inner ear receptor cell differentiation,6/653,62/21022,0.096774194,3.115447315,2.986763546,0.012375148,0.435034061,0.425063799,camk2g1/pi4kb/ift88/cobl/stat3/pgk1,6,,,,,,,,,,,,,,,,,,,,,
BP,GO:0008045,motor neuron axon guidance,6/653,63/21022,0.095238095,3.06599577,2.940443552,0.013329223,0.461473868,0.45089765,hif1ab/ppp1r12a/nrxn2a/rest/kif1b/stat3,6,,,,,,,,,,,,,,,,,,,,,
BP,GO:0016049,cell growth,11/653,164/21022,0.067073171,2.159283607,2.668539955,0.013631952,0.464910594,0.454255612,myo10l1/katna1/plxnb1b/nrxn2a/pard3ab/stim1a/kif1b/mycbp2/fus/ext2/dbnlb,11,,,,,,,,,,,,,,,,,,,,,
BP,GO:0045017,glycerolipid biosynthetic process,10/653,143/21022,0.06993007,2.251255636,2.688175637,0.013939199,0.468398091,0.457663181,pi4kb/pgap2/hycc2/pip4k2aa/impa1/gpat3/etnk1/slc30a5/mogat2/crls1,10,,,,,,,,,,,,,,,,,,,,,
BP,GO:0006520,amino acid metabolic process,16/653,280/21022,0.057142857,1.839597462,2.532347146,0.014584801,0.482989435,0.471920116,cbsb/rars2/pm20d1.2/hal/gcshb/uroc1/agxtb/gldc/sardh/mtrr/aars2/kmo/haao/oat/tat/cdo1,16,,,,,,,,,,,,,,,,,,,,,
BP,GO:0046474,glycerophospholipid biosynthetic process,9/653,124/21022,0.072580645,2.336585486,2.672721109,0.015344343,0.500883196,0.489403782,pi4kb/pgap2/hycc2/pip4k2aa/impa1/gpat3/etnk1/slc30a5/crls1,9,,,,,,,,,,,,,,,,,,,,,
BP,GO:0016311,dephosphorylation,14/653,236/21022,0.059322034,1.909751603,2.516470201,0.016033751,0.510448266,0.498749636,ptpn21/ptprt/dusp8a/synj1/ssh2a/mtmr14/ptprb/dusp4/cdc14b/inpp5l/ppp2r5d/ocrl/dusp12/styx,14,,,,,,,,,,,,,,,,,,,,,
BP,GO:0009072,aromatic amino acid metabolic process,5/653,48/21022,0.104166667,3.353432874,2.922672984,0.016225735,0.510448266,0.498749636,hal/uroc1/kmo/haao/tat,5,,,,,,,,,,,,,,,,,,,,,
BP,GO:0006400,tRNA modification,7/653,85/21022,0.082352941,2.651184578,2.731154588,0.016530929,0.510448266,0.498749636,trmt1l/cdk5rap1/wdr4/alkbh8/urm1/elp1/elp6,7,,,,,,,,,,,,,,,,,,,,,
BP,GO:0170040,proteinogenic amino acid catabolic process,7/653,85/21022,0.082352941,2.651184578,2.731154588,0.016530929,0.510448266,0.498749636,hal/gcshb/uroc1/gldc/oat/tat/cdo1,7,,,,,,,,,,,,,,,,,,,,,
BP,GO:0048268,clathrin coat assembly,3/653,18/21022,0.166666667,5.365492598,3.317545796,0.017191511,0.516876358,0.505030406,cltcb/hip1/picalma,3,,,,,,,,,,,,,,,,,,,,,
