ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0009067,aspartate family amino acid biosynthetic process,4/1425,19/21022,0.210526316,3.105743306,2.476172437,0.035929333,0.427361978,0.404853284,aass/mtrr/mthfr/apip,4
BP,GO:0009251,glucan catabolic process,4/1425,19/21022,0.210526316,3.105743306,2.476172437,0.035929333,0.427361978,0.404853284,wdr45b/wdr45/wipi1/pygl,4
BP,GO:0010458,exit from mitosis,4/1425,19/21022,0.210526316,3.105743306,2.476172437,0.035929333,0.427361978,0.404853284,cdc14ab/ube2s/ppp2r2d/clasp2,4
BP,GO:0032786,"positive regulation of DNA-templated transcription, elongation",4/1425,19/21022,0.210526316,3.105743306,2.476172437,0.035929333,0.427361978,0.404853284,ccnk/ccnt2a/gtf2f1/ell2,4
BP,GO:0043001,Golgi to plasma membrane protein transport,4/1425,19/21022,0.210526316,3.105743306,2.476172437,0.035929333,0.427361978,0.404853284,cnstb/golga7/arfrp1/nsfa,4
BP,GO:0043114,regulation of vascular permeability,4/1425,19/21022,0.210526316,3.105743306,2.476172437,0.035929333,0.427361978,0.404853284,tjp1b/adgrl2a/plcb3/tjp2b,4
BP,GO:0045773,positive regulation of axon extension,4/1425,19/21022,0.210526316,3.105743306,2.476172437,0.035929333,0.427361978,0.404853284,dbn1/cdkl5/dscama/dbnlb,4
BP,GO:0060974,cell migration involved in heart formation,4/1425,19/21022,0.210526316,3.105743306,2.476172437,0.035929333,0.427361978,0.404853284,pdgfra/vegfaa/gna13a/cemip2,4
MF,GO:0043178,alcohol binding,9/1377,68/20660,0.132352941,1.985774702,2.175791008,0.035947772,0.268276892,0.240702919,trpc6a/osbpl6/xpr1a/osbpl1a/trpc1/osbpl3b/trpc4b/prom1a/itpr1b,9
MF,GO:0015081,sodium ion transmembrane transporter activity,19/1377,183/20660,0.103825137,1.557754047,2.025207034,0.036544816,0.270230475,0.242455709,scn1lab/hcn4/slc5a5/slc6a22.1/slc6a6a/slc12a2/slc6a1b/slc17a6a/slc24a3/slc23a1/slc4a8/cacna1ha/scn8ab/scn8aa/slc8a1b/asic4a/cacna1ia/asic1c/asic2,19
BP,GO:0007169,cell surface receptor protein tyrosine kinase signaling pathway,38/1425,415/21022,0.091566265,1.350811245,1.946388324,0.036595479,0.431788383,0.409046555,ptk2bb/pdk4/phf14/efna2a/pdgfra/yes1/nrp1a/spred1/tyro3/htt/ryk/mapkapk2a/zfyve28/hif1an/rasa1a/ghra/tsc2/vegfaa/yrk/nrg1/znf106a/anks1ab/cbl/abl1/fyna/epha2b/chn1/pik3r1/socs7/akt1s1/cemip2/ddr2b/rerea/stat3/gigyf2/fgfr2/si:dkey-220o5.5/gpc1b,38
BP,GO:0048883,neuromast primordium migration,6/1425,37/21022,0.162162162,2.392261735,2.285633456,0.036607813,0.431788383,0.409046555,anos1a/sh3pxd2aa/ctnnd1/apc/itchb/mib1,6
BP,GO:0035023,regulation of Rho protein signal transduction,8/1425,57/21022,0.140350877,2.070495537,2.182298617,0.037430169,0.438045843,0.414974442,inf2/stard13b/dock9b/si:dkey-172h23.2/dock10/dock7/arhgef28a/arhgef18b,8
BP,GO:0051651,maintenance of location in cell,10/1425,78/21022,0.128205128,1.891318039,2.126618094,0.037449113,0.438045843,0.414974442,ryr2b/akap9/tmem38a/ryr3/plcb3/ryk/vps13d/snphb/plch1/itpr1b,10
MF,GO:0030295,protein kinase activator activity,8/1377,58/20660,0.137931034,2.069466356,2.179519453,0.037617864,0.275636347,0.247305956,ccnk/gprc5bb/parp6b/camk1b/ccnt2a/nrg1/rictorb/si:dkey-220o5.5,8
BP,GO:0008589,regulation of smoothened signaling pathway,7/1425,47/21022,0.14893617,2.19714819,2.215568487,0.03774925,0.43973197,0.416571762,dzip1/ift88/smo/wdr11/rerea/sufu/prkaa1,7
CC,GO:0030055,cell-substrate junction,11/1440,91/21740,0.120879121,1.82493895,2.100277084,0.037834859,0.247295127,0.217590092,fermt2/evlb/ptk2bb/map2k1/parvaa/tns1b/nexn/nrp1a/map2k2a/enah/tln2a,11
CC,GO:0099513,polymeric cytoskeletal fiber,41/1440,465/21740,0.088172043,1.331152927,1.922530767,0.037878903,0.247295127,0.217590092,cenpe/slain1a/mid1/clasp1a/maptb/dbn1/tube1/dync2h1/kif2c/dnm1b/radil/macf1a/kif21a/cimip2b/myo9aa/apc/mid2/kif1aa/golga2/kifc3/camsap2a/katna1/klc3/kif2a/dctn1a/disc1/clip1a/kif5c/dnm3a/dnai2b/snphb/klc1a/camsap3/kif1b/diaph2/clasp2/hook1/dbnlb/iffo1a/nckap5l/camsap1b,41
BP,GO:0016236,macroautophagy,16/1425,146/21022,0.109589041,1.616688296,2.016312358,0.038938839,0.451722586,0.427930845,atg13/snx14/ubxn2a/rubcn/acbd5a/atg16l1/wdr45b/becn1/wdr45/retreg3/tecpr1b/pik3r4/wipi1/atp13a2/atg4b/tex264a,16
