ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
CC,GO:0044391,ribosomal subunit,27/1428,141/19331,0.191489362,2.592213481,5.35908309,4.05E-06,0.000264467,0.000238182,mrpl30/rpl5a/mrpl43/mrpl44/mrpl58/mrpl22/mrpl47/rps27.1/mrps35/mrps7/mrpl10/mrpl41/mrps9/mrpl52/rpl7l1/rpl19/mrpl34/mrpl17/mrps22/mrps24/rpl35/rps13/mrps6/rps9/mrps26/rpl13a/rpl31,27
BP,GO:0006364,rRNA processing,29/1371,161/18773,0.180124224,2.466427461,5.245071576,5.13E-06,0.002586035,0.002444413,tsr1/nop10/mphosph10/rrp7a/bud23/mrpl44/ftsj3/srfbp1/pop7/riok2/rrp36/las1l/ddx49/riok1/exosc7/mrto4/rpl7l1/c1d/exosc9/ddx54/tbl3/rpl35/nhp2/ngdn/sart1/utp6/mrm1/mak16/urb1,29
MF,GO:1901618,organic hydroxy compound transmembrane transporter activity,12/1349,36/18430,0.333333333,4.55399061,5.998320248,5.40E-06,0.002131824,0.002067912,slc10a4/slc6a2/slco1d1/aqp7/rbp4/aqp9b/abcb11b/flvcr2b/slco2b1/aqp1a.2/slc16a3a/slc16a1a,12
BP,GO:0016072,rRNA metabolic process,31/1371,179/18773,0.173184358,2.371400397,5.174623911,5.71E-06,0.002586035,0.002444413,tsr1/nop10/mphosph10/rrp7a/bud23/mrpl44/ftsj3/srfbp1/pop7/polr1e/riok2/rrp36/las1l/ddx49/riok1/exosc7/mrto4/rpl7l1/c1d/exosc9/ddx54/tbl3/rpl35/nhp2/ngdn/sart1/utp6/mrm1/mak16/polr1f/urb1,31
CC,GO:0005681,spliceosomal complex,26/1428,146/19331,0.178082192,2.410719082,4.83229225,2.33E-05,0.001331656,0.001199303,wdr83/lsm7/u2af1/snrpe/ppie/ccdc12/snrpa1/sf3b2/hnrnpa3/snrpb/prpf31/magoh/isy1/sf3a3/cwf19l1/snrpd3l/dhx32b/bud31/slu7/snrpc/prkrip1/snrnp35/syf2/tfip11/yju2/clns1a,26
BP,GO:0002244,hematopoietic progenitor cell differentiation,25/1371,142/18773,0.176056338,2.41072621,4.736344053,3.35E-05,0.012187945,0.011520485,tbx16/tet2/hlx1/hdac1/angptl2b/wnt9a/notch1b/jag2b/notch3/hdac6/cbx8b/supt5h/atf3/sf3a3/mbd3b/crebbpa/efna1b/crhb/cnr2/prdm12b/tgfbr2b/dld/prdm16/ash2l/pdgfra,25
BP,GO:0140053,mitochondrial gene expression,15/1371,63/18773,0.238095238,3.260220208,5.043808073,3.59E-05,0.012187945,0.011520485,ptcd3/mrpl43/hars/mrpl44/gars1/mrpl58/mrps18b/mrpl47/mrps35/mrps7/tsfm/mrpl52/coa3a/mrps24/lrpprc,15
CC,GO:0005743,mitochondrial inner membrane,38/1428,266/19331,0.142857143,1.933873549,4.331393229,6.80E-05,0.00345371,0.003110447,cox4i2/slc25a48/hccsb/timm50/slc25a25a/chchd6a/ndufb10/cox8a/maip1/oxa1l/dhodh/coq10b/uqcrq/uqcc6/micos10/slc25a18/smdt1b/uqcr10/cyc1/afg3l2/yme1l1a/adck1/slc25a19/grpel1/coa3a/uqcrb/tmem177/mpv17l2/atp5mea/coq5/uqcrh/atp5f1d/immp2l/cox6a2/timm22/ndufa12/atp5meb/ndufc2,38
CC,GO:0015934,large ribosomal subunit,17/1428,84/19331,0.202380952,2.739654195,4.512717773,0.000117088,0.00535092,0.004819094,mrpl30/rpl5a/mrpl43/mrpl44/mrpl58/mrpl22/mrpl47/mrpl10/mrpl41/mrpl52/rpl7l1/rpl19/mrpl34/mrpl17/rpl35/rpl13a/rpl31,17
BP,GO:0000375,"RNA splicing, via transesterification reactions",34/1371,238/18773,0.142857143,1.956132125,4.166625922,0.000128578,0.031735498,0.029997536,wdr83/pqbp1/wbp4/lsm7/prmt7/snrpa/u2af1/ncbp2/larp7/snrpe/rbm4.1/snrpa1/sf3b2/hnrnpa3/srsf1b/snrpb/prpf31/magoh/isy1/sf3a3/cwf19l1/snrpd3l/rsrc1/bud31/slu7/snrpc/arglu1a/snrnp35/sart1/gemin5/syf2/tfip11/yju2/clns1a,34
