ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0043473,pigmentation,44/3857,161/18773,0.273291925,1.330181311,2.139551815,0.023267013,0.186986096,0.161378376,tspan36/hipk2/ednrba/pmela/hps1/dicer1/adrb2a/csf1ra/nsfa/eif3ea/pikfyve/tapt1b/cct2/inpp5b/plin6/ctns/sox10/rab38b/atoh7/rtf1/dio2/paics/mpv17/atp6v0d1/rab32a/ctr9/cdh2/tfap2a/sox5/adcy5/sulf1/rab11a/erbb3b/bbs5/hdac1/cdc42/tyrp1b/exoc5/ttc8/ap3d1/gart/mchr2b/sf3b1/uvrag,44
BP,GO:0006638,neutral lipid metabolic process,18/3857,55/18773,0.327272727,1.592919603,2.239243578,0.0233284,0.186986096,0.161378376,abhd2a/pnpla3/pck1/gpam/dgat1a/dgkaa/lipeb/zgc:172295/lpin2/pnpla4/mpv17/apobb.1/si:dkey-172j4.3/dgkza/lpla/mogat2/apoc1/lipg,18
BP,GO:0007029,endoplasmic reticulum organization,18/3857,55/18773,0.327272727,1.592919603,2.239243578,0.0233284,0.186986096,0.161378376,zgc:56596/rtn1b/sec61a1a/vapb/lnpk/copb2/get4/vcpip1/cdipt/reep1/esyt3/reep5/esyt2a/esyt2b/ncln/sec13/reep2/tmem147,18
CC,GO:0005635,nuclear envelope,45/3978,165/19331,0.272727273,1.325311943,2.136131229,0.023345248,0.12864722,0.102740007,lemd1/tmem120b/dnajb6b/mgst3b/nup93/mgst3a/sirt1/lmna/nemp1/mtmr6/syne2a/nutf2/ipo9/parp16/bnip3lb/syne1b/osbpl7/ubxn4/rogdi/ranbp2/ipo7/syne1a/nup153/nxt2/nup62l/nav3/gchfr/adra1ba/nup88/lmnb1/eny2/bnip3/sephs1/smpd4/bmb/cse1l/atp1b4/cptp/sec13/banf1/ltc4s/osbpl3b/nup43/nup160/tmem147,45
BP,GO:0001101,response to acid chemical,9/3857,22/18773,0.409090909,1.991149504,2.365332485,0.02373669,0.188526144,0.162707515,lamtor3/cpeb4a/sesn1/rptor/rragd/sesn4/lamtor1/rraga/castor2,9
BP,GO:0043200,response to amino acid,9/3857,22/18773,0.409090909,1.991149504,2.365332485,0.02373669,0.188526144,0.162707515,lamtor3/cpeb4a/sesn1/rptor/rragd/sesn4/lamtor1/rraga/castor2,9
BP,GO:0009620,response to fungus,11/3857,29/18773,0.379310345,1.846199923,2.318967956,0.023738162,0.188526144,0.162707515,psmd14/nap1l1/slc15a2/rac2/hspa5/sc5d/ccny/ppp6c/xpo1b/limk1a/mogat2,11
MF,GO:0016835,carbon-oxygen lyase activity,22/3772,71/18430,0.309859155,1.513972488,2.201120936,0.023833953,0.192374053,0.168226495,cfh/eno1a/ca15b/rps3/auh/fasn/alad/eno1b/echs1/gmds/ca4c/aco1/park7/cahz/etnppl/neil3/aco2/ptgis/pcbd1/eno2/apip/pus7,22
BP,GO:0000380,"alternative mRNA splicing, via spliceosome",19/3857,59/18773,0.322033898,1.56742089,2.219739032,0.023897294,0.188526144,0.162707515,ddx17/si:ch211-107m4.1/rbm24a/srsf1a/rbm15/arglu1a/ddx5/rbm17/pqbp1/rbfox1l/celf3a/celf2/rbm8a/prpf31/scnm1/hnrnpua/hnrnpub/rsrc1/magoh,19
BP,GO:0042886,amide transport,19/3857,59/18773,0.322033898,1.56742089,2.219739032,0.023897294,0.188526144,0.162707515,slc25a42/aqp3b/slc15a2/ptprn2/slc19a1/mcu/slc25a39/slc5a6a/slco1d1/park7/abcb9/plekha8/cert1a/aqp8a.1/rhag/sstr5/cptp/ptprna/slc15a5,19
