ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
CC,GO:0000793,condensed chromosome,37/2610,99/19331,0.373737374,2.76809087,6.968110211,2.11E-09,5.17E-07,4.72E-07,smc2/plk1/aurkb/firrm/ndel1b/mad2l1/spout1/cfdp1/ttk/ncapg/cenpi/rad50/clasp1a/ndc80/si:dkey-6i22.5/nuf2/spc24/ncapd3/spc25/cenph/ckap5/kntc1/ska3/zw10/rad51/kif2c/nsmce4a/gpatch11/ppp1cc/zwilch/ercc6l/incenp/smc5/knstrn/ncapd2/ska1/si:ch211-161h7.4,37
CC,GO:0000776,kinetochore,29/2610,68/19331,0.426470588,3.158660131,7.045013371,3.33E-09,5.44E-07,4.96E-07,plk1/aurkb/firrm/ndel1b/mad2l1/spout1/cfdp1/ttk/cenpi/clasp1a/ndc80/si:dkey-6i22.5/nuf2/spc24/spc25/cenph/ckap5/kntc1/ska3/zw10/kif2c/gpatch11/ppp1cc/zwilch/ercc6l/incenp/knstrn/ska1/si:ch211-161h7.4,29
BP,GO:0044283,small molecule biosynthetic process,79/2545,307/18773,0.25732899,1.898167832,6.283576917,7.47E-09,2.26E-06,1.99E-06,csad/agxtb/scap/psph/itpkcb/sprb/prkag2b/cyp27b1/qdpra/tha1/abhd3/fasn2/agxta/lipg/aclya/kmo/dnph1/mthfd1l/pptc7b/g6pc1a.2/aprt/pck1/elovl6/fgfr4/gamt/elovl8b/rdh5/itpkb/lbr/slc38a9/adka/ubiad1/aldh18a1/pptc7a/pcbd1/kdm1a/acmsd/pah/gch2/sephs3/got1/kynu/sirt5/sptlc2b/dbh/coq8aa/akr1a1b/glulb/cyp7a1/olah/ndufa9a/nus1/dcaf5/gls2a/bhmt/acacb/mlycd/psat1/cyp27a3/tm7sf2/srebf2/ip6k2a/cbsb/fasn/ccdc57/ptges/sc5d/abhd2a/hsd17b7/tpk1/mtap/fbp2/tpi1b/fads2/rgn/thnsl2/hprt1/dhcr7/fgf1a,79
BP,GO:0098813,nuclear chromosome segregation,40/2545,117/18773,0.341880342,2.521854483,6.53918251,1.08E-08,2.95E-06,2.61E-06,kif11/ccnb1/top2a/smc2/aurkb/prc1b/mad2l1/espl1/cdca8/nusap1/ttk/ncapg/knl1/kif4/ncaph/cenpi/clasp1a/bub1bb/ndc80/nuf2/ncapd3/pttg1/kif23/kntc1/si:dkey-25o16.4/ska3/mos/zw10/kif18a/racgap1/anapc15/zwilch/map9/smc4/anapc5/knstrn/ncapd2/cenpk/ska1/si:ch211-161h7.4,40
CC,GO:0000775,"chromosome, centromeric region",39/2610,113/19331,0.345132743,2.556230292,6.554869489,1.08E-08,1.32E-06,1.21E-06,si:dkeyp-115e12.6/plk1/aurkb/firrm/ndel1b/mad2l1/mis18bp1/cdca8/spout1/cfdp1/ttk/cenpi/clasp1a/birc6/ndc80/si:dkey-6i22.5/nuf2/spc24/birc5a/cbx1a/ncapd3/spc25/cenph/ckap5/cenpq/kntc1/ska3/zw10/kif2c/gpatch11/ppp1cc/zwilch/ercc6l/incenp/knstrn/ncapd2/cenpk/ska1/si:ch211-161h7.4,39
BP,GO:0009062,fatty acid catabolic process,26/2545,61/18773,0.426229508,3.144049728,6.642114128,2.37E-08,5.90E-06,5.21E-06,abhd3/cpt1b/eci1/acadl/hacl1/pck1/cpt1ab/hadhab/phyh/cpt2/crot/acad11/acaa1/hadh/etfb/abcd1/acot7/acaa2/decr2/lpin1a/acads/ech1/decr1/echdc2/abhd2a/echs1,26
BP,GO:0072329,monocarboxylic acid catabolic process,28/2545,69/18773,0.405797101,2.993331625,6.569064439,2.54E-08,5.90E-06,5.21E-06,abhd3/cpt1b/eci1/acadl/hacl1/hoga1/pck1/cpt1ab/hadhab/fah/phyh/cpt2/crot/acad11/acaa1/hadh/etfb/abcd1/acot7/acaa2/decr2/lpin1a/acads/ech1/decr1/echdc2/abhd2a/echs1,28
BP,GO:0044242,cellular lipid catabolic process,43/2545,137/18773,0.313868613,2.315228084,6.118594516,5.41E-08,1.17E-05,1.03E-05,abhd3/lipg/cpt1b/eci1/acadl/abhd12/hacl1/asah1b/pck1/cpt1ab/hadhab/phyh/cpt2/crot/plcg1/acad11/acaa1/hadh/hexa/bco2l/plpp6/etfb/pld1a/abcd1/neu1/acot7/acaa2/abhd6a/dagla/decr2/cel.1/lpin1a/acads/ech1/decr1/echdc2/gdpd1/abhd2a/echs1/smpd1/pnpla3/pla2g4f.1/bco1l,43
BP,GO:0051301,cell division,78/2545,317/18773,0.246056782,1.815019244,5.795559515,7.38E-08,1.49E-05,1.31E-05,mapre2/cdc20/cdk1/gdf3/ccnb1/kdf1b/plk1/cdca7b/cp110/cks1b/aurkb/e2f7/cdca7a/tgfb3/ankle2/ect2/ccnb2/cdca8/rab25b/aspm/unc119a2/spire1a/nusap1/ttk/pard6b/ncapg/si:dkey-12j5.1/knl1/ncaph/ttc19/cdca3/birc6/ndc80/si:dkey-6i22.5/nuf2/snx18a/spc24/cdca4/ncapd3/spc25/pttg1/si:dkey-187j14.4/kmt5aa/mapre3b/si:ch73-170d6.2/klhl13/ccna2/kif23/cks2/si:dkey-25o16.4/ska3/cdc45/zw10/cdc25b/tdrd12/racgap1/anapc15/ppp1cc/nudc/zwilch/cdc40/map9/cdh1/ercc6l/cdc7/cdc42/incenp/anapc5/septin8a/ncapd2/cep63/tp53/zfyve26/dis3l2/iqgap1/ska1/haus1/fgf1a,78
CC,GO:0098687,chromosomal region,43/2610,140/19331,0.307142857,2.27485769,5.981112627,9.67E-08,9.45E-06,8.63E-06,si:dkeyp-115e12.6/plk1/aurkb/firrm/ndel1b/mad2l1/mis18bp1/cdca8/spout1/cfdp1/ttk/cenpi/rad50/clasp1a/birc6/ndc80/si:dkey-6i22.5/nuf2/spc24/birc5a/cbx1a/ncapd3/spc25/cenph/ckap5/cenpq/kntc1/ska3/zw10/kif2c/nsmce4a/tert/gpatch11/ppp1cc/zwilch/ercc6l/incenp/smc5/knstrn/ncapd2/cenpk/ska1/si:ch211-161h7.4,43
BP,GO:1903047,mitotic cell cycle process,78/2545,322/18773,0.242236025,1.786835715,5.639865053,1.48E-07,2.80E-05,2.47E-05,cdk1/kif11/ccnb1/ccni2/mki67/smc2/plk1/aurkb/e2f7/mcm2/ndel1b/prc1b/cdkn1a/mad2l1/foxm1/gins1/ankle2/ect2/ccnb2/cdca8/unc119a2/dlgap5/nusap1/ttk/ccnb3/ncapg/kif4/ncaph/cenpi/lats1/clasp1a/mcm6/bub1bb/ndc80/nuf2/ncapd3/pdcd2/cenph/ckap5/ccna2/kif23/kntc1/nipblb/ska3/cdc45/tacc2/zw10/rad51/vcp/cdc25b/kif18a/tpd52l1/rhoab/racgap1/tpx2/anapc15/fbxl15/id2a/zwilch/rb1/map9/cxcr4a/chek2/smc4/mcm3/ccng2/scrib/anapc5/knstrn/ncapd2/cenpk/mrnip/zfyve26/iqgap1/ska1/swap70b/si:ch211-161h7.4/vangl2,78
