ONTOLOGY,ID,Description,pvalue_ASG_liver_AF,pvalue_ASG_liver_AR,pvalue_ASG_liver_FR,pvalue_DEG_liver_AF,pvalue_DEG_liver_AR,pvalue_DEG_liver_FR
BP,GO:0032418,lysosome localization,0.005334564,NA,NA,NA,NA,NA
BP,GO:0061550,cranial ganglion development,0.005334564,0.036747865,NA,NA,NA,NA
BP,GO:1990849,vacuolar localization,0.005334564,NA,NA,NA,NA,NA
BP,GO:0006641,triglyceride metabolic process,0.005367481,0.043819171,NA,9.06974e-4,0.002605119,NA
BP,GO:1905475,regulation of protein localization to membrane,0.005792874,0.002476406,0.011654278,NA,NA,NA
BP,GO:0051017,actin filament bundle assembly,0.006140324,NA,NA,NA,NA,NA
BP,GO:0048882,lateral line development,0.006201809,NA,0.010049917,0.01812743,NA,NA
BP,GO:0048915,posterior lateral line system development,0.006542301,0.045279738,0.022793526,NA,NA,NA
BP,GO:0051650,establishment of vesicle localization,0.006690605,NA,NA,NA,NA,NA
BP,GO:0040007,growth,0.006725519,NA,NA,0.005542054,0.036668193,0.016894771
BP,GO:0021545,cranial nerve development,0.007410225,NA,NA,NA,NA,NA
BP,GO:0051668,localization within membrane,0.007468088,0.001193543,0.017352339,NA,NA,NA
BP,GO:0048565,digestive tract development,0.007473194,NA,NA,0.0044952840000000004,0.010516326,0.037417724
BP,GO:0006695,cholesterol biosynthetic process,0.007604036,NA,NA,NA,0.01435026,9.12e-7
BP,GO:0032008,positive regulation of TOR signaling,0.007604036,0.018482916,NA,NA,NA,NA
BP,GO:1902653,secondary alcohol biosynthetic process,0.007604036,NA,NA,NA,0.01435026,9.12e-7
BP,GO:0031348,negative regulation of defense response,0.008323112,NA,0.035180473,NA,NA,NA
BP,GO:0045017,glycerolipid biosynthetic process,0.008325897,0.013939199,NA,NA,NA,NA
BP,GO:0048881,mechanosensory lateral line system development,0.008456211,NA,0.026268288,0.046272572,NA,NA
