ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0061515,myeloid cell development,6/282,78/18773,0.076923077,5.120840153,4.50370528,0.001131725,0.076134235,0.071748123,sec23b/hmgcs1/gata1a/flt3/alas2/alas1,6
BP,GO:0016125,sterol metabolic process,6/282,82/18773,0.073170732,4.871043072,4.338287093,0.001467881,0.090519317,0.085304477,hmgcs1/nsdhl/cyp27a1.1/cyp51/lss/ebp,6
BP,GO:1902652,secondary alcohol metabolic process,6/282,82/18773,0.073170732,4.871043072,4.338287093,0.001467881,0.090519317,0.085304477,hmgcs1/nsdhl/cyp27a1.1/cyp51/lss/ebp,6
BP,GO:0030223,neutrophil differentiation,4/282,34/18773,0.117647059,7.831873175,4.923859774,0.001620957,0.092269847,0.086954159,gata1a/alas1/asxl1/smarcd2,4
BP,GO:0043409,negative regulation of MAPK cascade,4/282,34/18773,0.117647059,7.831873175,4.923859774,0.001620957,0.092269847,0.086954159,dusp1/dusp16/si:ch211-195b15.8/il17rd,4
BP,GO:0016126,sterol biosynthetic process,4/282,36/18773,0.111111111,7.39676911,4.744184003,0.002011073,0.110236614,0.103885856,hmgcs1/cyp51/lss/ebp,4
MF,GO:0004659,prenyltransferase activity,3/284,17/18430,0.176470588,11.45194698,5.393603087,0.002097756,0.138231058,0.136687809,dhdds/nus1/pdss1,3
BP,GO:0045944,positive regulation of transcription by RNA polymerase II,13/282,344/18773,0.037790698,2.515761587,3.503957748,0.002203112,0.1164502,0.109741475,jun/sox14/bcl11ba/relb/gata1a/tfap2e/tfap2b/med18/junba/mdc1/asxl1/med10/junbb,13
MF,GO:0140662,ATP-dependent protein folding chaperone,4/284,37/18430,0.108108108,7.015607156,4.582195829,0.002443478,0.138231058,0.136687809,hsp90aa1.1/hspa4a/hsp70.3/hspa5,4
BP,GO:0044283,small molecule biosynthetic process,12/282,307/18773,0.039087948,2.602120729,3.495245131,0.002447084,0.118361528,0.111542692,dhdds/itpkcb/hmgcs1/acsbg2/cyp27a1.1/cyp51/lss/ebp/lef1/nus1/kdm1a/pdss1,12
BP,GO:0030901,midbrain development,4/282,39/18773,0.102564103,6.82778687,4.499044967,0.002711021,0.118361528,0.111542692,zic2a/zic5/kdm7ab/csrnp1b,4
BP,GO:0061077,chaperone-mediated protein folding,4/282,39/18773,0.102564103,6.82778687,4.499044967,0.002711021,0.118361528,0.111542692,hsp70.3/hspa5/fkbp5/tor1,4
BP,GO:0030900,forebrain development,8/282,158/18773,0.050632911,3.370679594,3.695468565,0.002716978,0.118361528,0.111542692,zic2a/sox14/tcf7l2/sec61a1a/lef1/lhx9/csrnp1b/ulk2,8
BP,GO:0021986,habenula development,3/282,19/18773,0.157894737,10.51119821,5.122296392,0.002719116,0.118361528,0.111542692,tcf7l2/sec61a1a/ulk2,3
BP,GO:1902742,apoptotic process involved in development,3/282,19/18773,0.157894737,10.51119821,5.122296392,0.002719116,0.118361528,0.111542692,angptl4/pdcd2l/xkr8.3,3
BP,GO:0030218,erythrocyte differentiation,7/282,126/18773,0.055555556,3.698384555,3.753049194,0.002961968,0.12524894,0.118033318,sec23b/hmgcs1/gata1a/alas2/slc4a1a/p2ry12/alas1,7
BP,GO:0008283,cell population proliferation,15/282,448/18773,0.033482143,2.22893712,3.251219606,0.003328387,0.135049674,0.127269429,zic2a/jun/tfap2e/igfbp1a/il11a/epor/tfap2b/cxcr4a/zic5/erbb2/junba/lef1/asxl1/mych/junbb,15
BP,GO:0034101,erythrocyte homeostasis,7/282,129/18773,0.054263566,3.612375612,3.67671999,0.003376242,0.135049674,0.127269429,sec23b/hmgcs1/gata1a/alas2/slc4a1a/p2ry12/alas1,7
BP,GO:0030099,myeloid cell differentiation,10/282,243/18773,0.041152263,2.739544115,3.370547886,0.003832657,0.149271919,0.140672327,sec23b/hmgcs1/gata1a/flt3/alas2/slc4a1a/p2ry12/alas1/asxl1/smarcd2,10
BP,GO:0048872,homeostasis of number of cells,8/282,168/18773,0.047619048,3.170043904,3.489056095,0.003950173,0.14990399,0.141267985,sec23b/hmgcs1/gata1a/alas2/slc4a1a/p2ry12/alas1/lef1,8
BP,GO:0021538,epithalamus development,3/282,22/18773,0.136363636,9.077852998,4.681604228,0.004180224,0.154668297,0.145757819,tcf7l2/sec61a1a/ulk2,3
CC,GO:0032432,actin filament bundle,4/287,45/19331,0.088888889,5.987146729,4.111640267,0.004394041,0.3370421,0.321878067,fblim1/rflnb/coro1cb/pdlim1,4
BP,GO:0030851,granulocyte differentiation,4/282,46/18773,0.086956522,5.788775825,4.015771057,0.004955658,0.174903548,0.164827312,gata1a/alas1/asxl1/smarcd2,4
BP,GO:0009314,response to radiation,8/282,175/18773,0.045714286,3.043242148,3.353554502,0.005043166,0.174903548,0.164827312,dhdds/bmal2/nyx/rad9b/opn3/cry2/inip/parapinopsina,8
BP,GO:0002262,myeloid cell homeostasis,7/282,139/18773,0.050359712,3.352492474,3.437812805,0.005081657,0.174903548,0.164827312,sec23b/hmgcs1/gata1a/alas2/slc4a1a/p2ry12/alas1,7
BP,GO:0001878,response to yeast,3/282,24/18773,0.125,8.321365248,4.432086904,0.005373916,0.180758984,0.170345415,hspa5/nsdhl/cyp51,3
BP,GO:0030162,regulation of proteolysis,8/282,178/18773,0.04494382,2.99195155,3.297541792,0.00557679,0.183414421,0.172847872,serpinh1b/a2ml/serpina1/e2f1/hdr/adam8b/itih3a.1/cdc20,8
BP,GO:0042026,protein refolding,3/282,25/18773,0.12,7.988510638,4.317941858,0.006039687,0.184689341,0.174049344,hsp70.3/hspa5/dnaja1,3
BP,GO:0000070,mitotic sister chromatid segregation,5/282,77/18773,0.064935065,4.322787142,3.608055105,0.006049249,0.184689341,0.174049344,kntc1/ccdc61/prc1b/kif18a/cdc23,5
BP,GO:1903706,regulation of hemopoiesis,5/282,77/18773,0.064935065,4.322787142,3.608055105,0.006049249,0.184689341,0.174049344,gata1a/p2ry12/ezh2/asxl1/kdm1a,5
BP,GO:0045595,regulation of cell differentiation,15/282,479/18773,0.03131524,2.084684405,2.969726422,0.006114715,0.184689341,0.174049344,stag1a/gata1a/cebpd/klf2b/zic5/rflnb/lss/p2ry12/ezh2/lef1/asxl1/lfng/pou5f3/ulk2/kdm1a,15
MF,GO:0019842,vitamin binding,6/284,108/18430,0.055555556,3.605242567,3.396981686,0.006554927,0.301241068,0.29787793,sgpl1/alas2/p3h1/alas1/opn3/si:ch211-217a12.1,6
BP,GO:0002573,myeloid leukocyte differentiation,5/282,80/18773,0.0625,4.160682624,3.49853326,0.007098786,0.209320564,0.197261555,gata1a/flt3/alas1/asxl1/smarcd2,5
CC,GO:0005667,transcription regulator complex,10/287,269/19331,0.037174721,2.503918242,3.049256256,0.007134369,0.3370421,0.321878067,jun/bmal2/tcf7l2/e2f1/med18/junba/lef1/cry2/six3a/junbb,10
BP,GO:0052547,regulation of peptidase activity,6/282,113/18773,0.053097345,3.53473922,3.337461884,0.007213073,0.209320564,0.197261555,serpinh1b/a2ml/serpina1/e2f1/hdr/itih3a.1,6
BP,GO:1902532,negative regulation of intracellular signal transduction,8/282,188/18773,0.042553191,2.832805191,3.11898708,0.007670611,0.216754494,0.204267215,dusp1/ddit4/dusp16/dhx58/si:ch211-195b15.8/tank/il17rd/nfkbiab,8
BP,GO:2000026,regulation of multicellular organismal development,14/282,446/18773,0.031390135,2.089670197,2.876182503,0.007795447,0.216754494,0.204267215,thbs1b/gata1a/nme2b.1/zic5/rflnb/lss/p2ry12/ezh2/esrra/lef1/asxl1/ninj1/ulk2/kdm1a,14
MF,GO:0030170,pyridoxal phosphate binding,4/284,51/18430,0.078431373,5.089754212,3.658819283,0.007816915,0.301241068,0.29787793,sgpl1/alas2/alas1/si:ch211-217a12.1,4
MF,GO:0070279,vitamin B6 binding,4/284,51/18430,0.078431373,5.089754212,3.658819283,0.007816915,0.301241068,0.29787793,sgpl1/alas2/alas1/si:ch211-217a12.1,4
BP,GO:0007059,chromosome segregation,8/282,189/18773,0.042328042,2.817816804,3.101780383,0.00790861,0.216754494,0.204267215,stag1a/kntc1/ccdc61/ntmt1/prc1b/sac3d1/kif18a/cdc23,8
BP,GO:0009266,response to temperature stimulus,4/282,53/18773,0.075471698,5.024220527,3.622983968,0.008195771,0.219960666,0.207288678,hsp90aa1.1/dnaja1/cry2/dhx30,4
BP,GO:0051085,chaperone cofactor-dependent protein refolding,3/282,28/18773,0.107142857,7.132598784,4.010333346,0.008322836,0.219960666,0.207288678,hsp70.3/hspa5/tor1,3
MF,GO:0044183,protein folding chaperone,4/284,52/18430,0.076923077,4.991874323,3.606193364,0.008367807,0.301241068,0.29787793,hsp90aa1.1/hspa4a/hsp70.3/hspa5,4
BP,GO:1901615,organic hydroxy compound metabolic process,9/282,232/18773,0.038793103,2.582492663,2.995151181,0.008628189,0.224030181,0.211123748,dhdds/itpkcb/hmgcs1/nsdhl/cyp27a1.1/cyp51/lss/ebp/nus1,9
CC,GO:0009295,nucleoid,2/287,10/19331,0.2,13.47108014,4.842471337,0.009136901,0.3370421,0.321878067,atad3/dhx30,2
CC,GO:0042645,mitochondrial nucleoid,2/287,10/19331,0.2,13.47108014,4.842471337,0.009136901,0.3370421,0.321878067,atad3/dhx30,2
BP,GO:0009620,response to fungus,3/282,29/18773,0.103448276,6.886647102,3.91773891,0.009181571,0.230317383,0.217048742,hspa5/nsdhl/cyp51,3
BP,GO:0051084,'de novo' post-translational protein folding,3/282,29/18773,0.103448276,6.886647102,3.91773891,0.009181571,0.230317383,0.217048742,hsp70.3/hspa5/tor1,3
BP,GO:0035459,vesicle cargo loading,2/282,10/18773,0.2,13.3141844,4.810100395,0.009344358,0.230494174,0.217215348,sec23b/sec24d,2
BP,GO:0000819,sister chromatid segregation,5/282,86/18773,0.058139535,3.870402441,3.294745331,0.009567247,0.232123369,0.218750686,kntc1/ccdc61/prc1b/kif18a/cdc23,5
BP,GO:0048545,response to steroid hormone,4/282,56/18773,0.071428571,4.755065856,3.475306231,0.009927576,0.236980858,0.223328334,jun/junba/esrra/junbb,4
CC,GO:0015629,actin cytoskeleton,11/287,328/19331,0.033536585,2.258870145,2.822828937,0.010223614,0.3370421,0.321878067,smtnl/actb2/mylz3/fblim1/rflnb/coro1cb/pdlim1/myo3b/myhb/actn3b/tnnc2.1,11
MF,GO:0016887,ATP hydrolysis activity,11/284,318/18430,0.034591195,2.244773673,2.801175709,0.010648746,0.351408631,0.347485409,hsp90aa1.1/atp2a1l/hsp70.3/hspa5/znfx1/atad3/tor1/abcg2a/abcb9/tor3a/kif18a,11
BP,GO:0006458,'de novo' protein folding,3/282,31/18773,0.096774194,6.442347289,3.745059823,0.011049214,0.253505878,0.238901343,hsp70.3/hspa5/tor1,3
BP,GO:0009408,response to heat,3/282,31/18773,0.096774194,6.442347289,3.745059823,0.011049214,0.253505878,0.238901343,hsp90aa1.1/dnaja1/dhx30,3
BP,GO:0008202,steroid metabolic process,6/282,124/18773,0.048387097,3.221173644,3.064539386,0.011133704,0.253505878,0.238901343,hmgcs1/nsdhl/cyp27a1.1/cyp51/lss/ebp,6
BP,GO:0032350,regulation of hormone metabolic process,2/282,11/18773,0.181818182,12.103804,4.549128363,0.011308422,0.25358279,0.238973824,lef1/kdm1a,2
